NLight Price to Free Cash Flow Ratio Historical Data,NLight Price to Free Cash Flow Ratio Historical Data,NLight Price to Free Cash Flow Ratio Historical Data,NLight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.83,,0.0
2024-12-31,10.49,$-0.21,0.0
2024-09-30,10.69,$-0.09,0.0
2024-06-30,10.93,$0.29,38.1
2024-03-31,13.0,$0.31,41.69
2023-12-31,13.5,$0.10,130.94
2023-09-30,10.4,$-0.00,0.0
2023-06-30,15.42,$-0.36,0.0
2023-03-31,10.18,$-0.53,0.0
2022-12-31,10.14,$-0.81,0.0
2022-09-30,9.45,$-1.07,0.0
2022-06-30,10.22,$-1.08,0.0
2022-03-31,17.34,$-0.93,0.0
2021-12-31,23.95,$-0.64,0.0
2021-09-30,28.19,$-0.40,0.0
2021-06-30,36.28,$-0.12,0.0
2021-03-31,32.4,$0.18,177.24
2020-12-31,32.65,$-0.27,0.0
2020-09-30,23.48,$-0.26,0.0
2020-06-30,22.26,$-0.50,0.0
2020-03-31,10.49,$-0.66,0.0
2019-12-31,20.28,$-0.43,0.0
2019-09-30,15.66,$-0.37,0.0
2019-06-30,19.2,$-0.16,0.0
2019-03-31,22.28,$-0.44,0.0
