Nexxen Price to Free Cash Flow Ratio Historical Data,Nexxen Price to Free Cash Flow Ratio Historical Data,Nexxen Price to Free Cash Flow Ratio Historical Data,Nexxen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.19,,3.52
2024-12-31,10.02,$2.04,4.91
2024-09-30,8.04,$1.94,4.15
2024-06-30,5.62,$1.54,3.66
2024-03-31,5.22,$1.41,3.71
2023-12-31,5.06,$0.78,6.46
2023-09-30,3.53,$0.46,7.69
2023-06-30,7.2,$0.47,15.46
2023-03-31,5.25,$0.69,7.64
2022-12-31,6.45,$1.02,6.31
2022-09-30,6.93,$1.45,4.79
2022-06-30,8.68,$1.71,5.09
2022-03-31,15.21,$2.38,6.39
