MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data,MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data,MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data,MidCap Financial Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.98,,0.0
2024-12-31,13.49,$-0.12,0.0
2024-09-30,13.03,$0.46,28.23
2024-06-30,14.11,$1.35,10.48
2024-03-31,13.68,$2.45,5.58
2023-12-31,12.12,$3.01,4.03
2023-09-30,11.85,$-0.35,0.0
2023-06-30,10.52,$0.34,30.6
2023-03-31,9.26,$-0.12,0.0
2022-12-31,8.94,0,0.0
2022-09-30,7.76,$2.97,2.61
2022-06-30,7.97,$-0.30,0.0
2022-03-31,9.47,$-0.04,0.0
2021-12-31,8.91,$-0.86,0.0
2021-09-30,8.78,$0.68,12.96
2021-06-30,9.2,$5.02,1.83
2021-03-31,9.03,$6.18,1.46
2020-12-31,6.81,$6.18,1.1
2020-09-30,5.14,$1.65,3.11
2020-06-30,5.71,$-3.87,0.0
2020-03-31,3.86,$-7.66,0.0
2019-12-31,9.44,$-7.66,0.0
2019-09-30,8.49,$-5.17,0.0
2019-06-30,8.11,$0.50,16.14
2019-03-31,7.56,$-0.66,0.0
2018-12-31,6.01,$-0.66,0.0
2018-09-30,7.65,$-0.76,0.0
2018-06-30,7.63,$-2.16,0.0
2018-03-31,6.96,$1.62,4.29
2017-12-31,7.34,$1.62,4.53
2017-09-30,7.73,$1.70,4.54
2017-06-30,7.88,$2.29,3.44
2017-03-31,7.91,$6.30,1.25
2016-12-31,6.9,$6.30,1.09
2016-09-30,6.66,$6.79,0.98
2016-06-30,6.2,$5.89,1.05
2016-03-31,5.99,$4.09,1.47
2015-12-31,5.44,$4.09,1.33
2015-09-30,5.49,$3.83,1.43
2015-06-30,6.88,$3.05,2.26
2015-03-31,7.27,$-0.91,0.0
2014-12-31,6.85,$-0.91,0.0
2014-09-30,7.33,$-2.98,0.0
2014-06-30,7.55,$-2.16,0.0
2014-03-31,7.12,$-1.54,0.0
2013-12-31,7.09,$-1.54,0.0
2013-09-30,6.66,$-0.31,0.0
2013-06-30,6.18,$-0.97,0.0
2013-03-31,6.51,$1.41,4.62
2012-12-31,6.36,$1.41,4.51
2012-09-30,5.85,$2.41,2.43
2012-06-30,5.56,$2.77,2.0
2012-03-31,5.06,$-0.44,0.0
2011-12-31,4.42,$-0.44,0.0
2011-09-30,4.94,$3.81,1.3
2011-06-30,6.5,$-0.46,0.0
2011-03-31,7.48,$-4.31,0.0
2010-12-31,6.7,$-4.31,0.0
2010-09-30,6.04,$-1.95,0.0
2010-06-30,5.36,$2.06,2.6
2010-03-31,7.12,$8.80,0.81
2009-12-31,5.22,$8.80,0.59
