Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data,Constellation Brands Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,178.88,,18.71
2024-11-30,240.95,$9.56,25.2
2024-08-31,239.69,$9.21,26.01
2024-05-31,248.13,$8.01,30.98
2024-02-29,245.46,$8.33,29.46
2023-11-30,236.67,$9.19,25.74
2023-08-31,255.46,$8.07,31.65
2023-05-31,237.43,$8.42,28.21
2023-02-28,217.74,$8.98,24.26
2022-11-30,249.63,$7.84,31.84
2022-08-31,237.88,$10.01,23.75
2022-05-31,236.54,$8.39,28.2
2022-02-28,207.12,$8.83,23.47
2021-11-30,215.76,$8.90,24.25
2021-08-31,201.48,$8.99,22.42
2021-05-31,227.95,$9.18,24.83
2021-02-28,202.99,$8.97,22.62
2020-11-30,194.49,$11.26,17.27
2020-08-31,173.6,$9.44,18.4
2020-05-31,161.8,$10.18,15.89
2020-02-29,160.77,$9.56,16.81
2019-11-30,172.88,$7.18,24.08
2019-08-31,189.13,$7.48,25.29
2019-05-31,163.3,$7.31,22.35
2019-02-28,155.98,$6.54,23.83
2018-11-30,179.74,$6.94,25.9
2018-08-31,190.45,$5.88,32.39
2018-05-31,203.36,$4.72,43.12
2018-02-28,195.78,$3.93,49.87
2017-11-30,197.21,$3.28,60.17
2017-08-31,180.92,$3.19,56.76
2017-05-31,164.8,$3.44,47.94
2017-02-28,142.79,$3.48,41.08
2016-11-30,135.54,$3.36,40.33
2016-08-31,146.75,$3.01,48.78
2016-05-31,136.66,$2.74,49.96
2016-02-29,125.89,$2.30,54.75
2015-11-30,124.57,$3.22,38.68
2015-08-31,113.42,$2.25,50.43
2015-05-31,104.2,$1.49,69.71
2015-02-28,101.12,$1.61,62.82
2014-11-30,84.97,$1.20,70.56
2014-08-31,76.77,$2.34,32.88
2014-05-31,74.16,$3.26,22.73
2014-02-28,71.43,$2.73,26.19
2013-11-30,62.06,$3.15,19.73
2013-08-31,47.82,$2.67,17.9
2013-05-31,46.73,$1.83,25.53
2013-02-28,39.0,$2.31,16.87
2012-11-30,31.63,$2.12,14.91
2012-08-31,29.04,$2.72,10.69
2012-05-31,17.0,$2.57,6.62
2012-02-29,19.25,$3.10,6.22
2011-11-30,17.16,$3.58,4.79
2011-08-31,17.43,$3.20,5.44
2011-05-31,19.36,$3.09,6.26
2011-02-28,17.91,$2.32,7.73
2010-11-30,18.17,$2.13,8.52
2010-08-31,14.69,$2.22,6.63
2010-05-31,14.69,$1.83,8.01
2010-02-28,13.26,$1.27,10.4
2009-11-30,15.08,$2.33,6.48
