Envirotech Vehicles Price to Free Cash Flow Ratio Historical Data,Envirotech Vehicles Price to Free Cash Flow Ratio Historical Data,Envirotech Vehicles Price to Free Cash Flow Ratio Historical Data,Envirotech Vehicles Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.0
2024-09-30,1.8,$-0.20,0.0
2024-06-30,1.91,$-0.19,0.0
2024-03-31,2.7,$-0.18,0.0
2023-12-31,1.36,$-0.28,0.0
2023-09-30,1.58,$-0.22,0.0
2023-06-30,2.1,$-0.27,0.0
2023-03-31,3.15,$-0.40,0.0
2022-12-31,2.13,$-0.51,0.0
2022-09-30,4.66,$-1.01,0.0
2022-06-30,0.1,$-1.07,0.0
2022-03-31,0.1,$-0.12,0.0
2021-12-31,0.1,$-1.13,0.0
2021-09-30,0.1,$-0.68,0.0
2021-06-30,0.1,$-0.50,0.0
2021-03-31,0.1,$-1.28,0.0
2020-12-31,0.1,0,0.0
2020-09-30,0.1,$-0.42,0.0
2020-06-30,0.1,$-0.59,0.0
2020-03-31,0.1,$-1.04,0.0
2019-12-31,0.1,$-1.26,0.0
2019-09-30,0.1,$-0.97,0.0
2019-06-30,0.29,$-0.72,0.0
2019-03-31,0.39,$-0.94,0.0
2018-12-31,0.27,$-1.27,0.0
2018-09-30,0.56,$-1.46,0.0
2018-06-30,1.09,$-1.90,0.0
2018-03-31,1.18,$-2.26,0.0
