El Pollo Loco Holdings Price to Free Cash Flow Ratio Historical Data,El Pollo Loco Holdings Price to Free Cash Flow Ratio Historical Data,El Pollo Loco Holdings Price to Free Cash Flow Ratio Historical Data,El Pollo Loco Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.45,,11.33
2024-12-31,11.54,$0.92,12.51
2024-09-30,13.7,$0.95,14.39
2024-06-30,11.31,$0.78,14.44
2024-03-31,9.74,$0.85,11.48
2023-12-31,8.82,$0.56,15.66
2023-09-30,8.95,$0.78,11.48
2023-06-30,8.77,$0.78,11.23
2023-03-31,9.59,$0.62,15.55
2022-12-31,9.96,$0.51,19.55
2022-09-30,7.73,$0.39,19.62
2022-06-30,8.53,$0.56,15.36
2022-03-31,10.07,$0.74,13.67
2021-12-31,12.29,$0.96,12.78
2021-09-30,14.64,$0.95,15.44
2021-06-30,15.85,$1.19,13.3
2021-03-31,13.97,$1.26,11.05
2020-12-31,15.68,$0.95,16.58
2020-09-30,14.04,$0.78,17.92
2020-06-30,12.79,$0.62,20.78
2020-03-31,7.32,$0.15,49.8
2019-12-31,13.12,$0.55,23.73
2019-09-30,9.5,$0.50,18.89
2019-06-30,9.24,$0.34,27.28
2019-03-31,11.27,$0.46,24.6
2018-12-31,13.14,$0.46,28.74
2018-09-30,10.87,$0.36,30.46
2018-06-30,9.88,$0.45,22.14
2018-03-31,8.23,$0.40,20.62
2017-12-31,8.58,$0.45,19.23
2017-09-30,10.53,$0.59,17.89
2017-06-30,12.0,$0.43,27.82
2017-03-31,10.35,$0.37,28.18
2016-12-31,10.66,$0.30,34.99
2016-09-30,10.91,$0.34,31.63
2016-06-30,11.26,$0.33,34.01
2016-03-31,11.56,$0.52,22.3
2015-12-31,10.94,$0.70,15.74
2015-09-30,9.34,$0.38,24.39
2015-06-30,17.94,$0.51,34.9
