Johnson Outdoors Price to Free Cash Flow Ratio Historical Data,Johnson Outdoors Price to Free Cash Flow Ratio Historical Data,Johnson Outdoors Price to Free Cash Flow Ratio Historical Data,Johnson Outdoors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.77,,14.96
2024-12-31,33.0,$1.66,19.94
2024-09-30,35.85,$2.08,17.28
2024-06-30,34.33,$0.10,358.7
2024-03-31,44.9,$-0.82,0.0
2023-12-31,51.67,$2.15,24.05
2023-09-30,52.57,$3.34,15.75
2023-06-30,58.75,$5.73,10.25
2023-03-31,59.94,$0.94,63.8
2022-12-31,62.61,$-4.82,0.0
2022-09-30,48.27,$-9.24,0.0
2022-06-30,57.27,$-11.49,0.0
2022-03-31,72.51,$-6.06,0.0
2021-12-31,87.1,$-1.61,0.0
2021-09-30,98.09,$3.65,26.88
2021-06-30,111.98,$7.31,15.32
2021-03-31,131.92,$6.06,21.76
2020-12-31,103.9,$6.24,16.65
2020-09-30,75.36,$4.56,16.52
2020-06-30,83.61,$3.95,21.15
2020-03-31,57.44,$7.03,8.17
2019-12-31,70.11,$4.00,17.51
2019-09-30,53.38,$2.91,18.37
2019-06-30,67.84,$2.55,26.61
2019-03-31,64.8,$2.48,26.16
2018-12-31,53.22,$3.27,16.28
2018-09-30,84.11,$4.55,18.47
2018-06-30,76.35,$4.08,18.7
2018-03-31,55.9,$3.00,18.6
2017-12-31,55.89,$4.23,13.22
2017-09-30,65.95,$3.52,18.72
2017-06-30,43.31,$3.18,13.62
2017-03-31,32.7,$2.22,14.73
2016-12-31,35.47,$3.10,11.43
2016-09-30,32.43,$3.23,10.03
2016-06-30,22.85,$3.53,6.46
2016-03-31,19.68,$2.99,6.58
2015-12-31,19.32,$0.56,34.26
2015-09-30,18.55,$0.79,23.55
2015-06-30,20.64,$1.50,13.8
2015-03-31,28.95,$0.74,39.27
2014-12-31,27.21,$2.72,10.01
2014-09-30,22.53,$2.21,10.17
2014-06-30,22.37,$2.15,10.39
2014-03-31,21.97,$2.05,10.74
2013-12-31,23.23,$0.27,87.0
2013-09-30,23.05,$1.44,16.06
2013-06-30,21.4,$1.42,15.02
2013-03-31,20.49,$2.11,9.69
2012-12-31,17.12,$2.85,6.01
2012-09-30,18.39,$2.24,8.22
2012-06-30,17.71,$3.01,5.89
2012-03-31,16.42,$2.91,5.64
2011-12-31,13.19,$1.56,8.47
2011-09-30,13.22,$2.33,5.68
2011-06-30,14.72,$0.61,24.06
2011-03-31,13.06,$0.53,24.64
2010-12-31,10.76,$0.43,25.11
2010-09-30,11.02,$1.13,9.74
2010-06-30,9.67,$1.98,4.9
2010-03-31,9.76,$0.12,80.96
2009-12-31,8.4,$0.57,14.77
