Monopar Therapeutics Price to Free Cash Flow Ratio Historical Data,Monopar Therapeutics Price to Free Cash Flow Ratio Historical Data,Monopar Therapeutics Price to Free Cash Flow Ratio Historical Data,Monopar Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.74,,0.0
2024-09-30,6.74,$-1.86,0.0
2024-06-30,3.65,$-2.16,0.0
2024-03-31,3.41,$-2.49,0.0
2023-12-31,1.7,$-2.84,0.0
2023-09-30,3.1,$-2.75,0.0
2023-06-30,4.28,$-2.98,0.0
2023-03-31,6.95,$-2.73,0.0
2022-12-31,11.85,$-2.84,0.0
2022-09-30,7.6,$-3.16,0.0
2022-06-30,11.5,$-3.10,0.0
2022-03-31,12.75,$-3.11,0.0
2021-12-31,16.05,$-2.93,0.0
2021-09-30,24.35,$-2.69,0.0
2021-06-30,29.45,$-2.46,0.0
2021-03-31,31.0,$-2.40,0.0
2020-12-31,30.6,$-2.13,0.0
2020-09-30,26.76,$-3.16,0.0
