Adherex Technologies Price to Free Cash Flow Ratio Historical Data,Adherex Technologies Price to Free Cash Flow Ratio Historical Data,Adherex Technologies Price to Free Cash Flow Ratio Historical Data,Adherex Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.62,,7.73
2024-09-30,5.0,$0.86,5.84
2024-06-30,6.11,$0.84,7.29
2024-03-31,11.12,$0.82,13.55
2023-12-31,11.22,$-0.65,0.0
2023-09-30,7.51,$-0.72,0.0
2023-06-30,8.83,$-0.81,0.0
2023-03-31,8.32,$-0.79,0.0
2022-12-31,9.6,$-0.69,0.0
2022-09-30,8.1,$-0.56,0.0
2022-06-30,5.58,$-0.48,0.0
2022-03-31,5.6,$-0.52,0.0
2021-12-31,4.4,$-0.55,0.0
2021-09-30,9.42,$-0.60,0.0
2021-06-30,7.29,$-0.67,0.0
2021-03-31,6.21,$-0.61,0.0
2020-12-31,7.45,$-0.66,0.0
2020-09-30,6.06,$-0.56,0.0
2020-06-30,8.35,$-0.49,0.0
2020-03-31,5.94,$-0.52,0.0
2019-12-31,6.49,$-0.46,0.0
2019-09-30,4.81,$-0.53,0.0
2019-06-30,4.0,$-0.50,0.0
2019-03-31,4.85,$-0.44,0.0
2018-12-31,6.38,$-0.41,0.0
2018-09-30,8.2,$-0.35,0.0
2018-06-30,10.44,$-0.42,0.0
