Backblaze Price to Free Cash Flow Ratio Historical Data,Backblaze Price to Free Cash Flow Ratio Historical Data,Backblaze Price to Free Cash Flow Ratio Historical Data,Backblaze Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.42,,0.0
2024-12-31,6.02,$-0.03,0.0
2024-09-30,6.39,$-0.05,0.0
2024-06-30,6.16,$-0.17,0.0
2024-03-31,10.23,$-0.42,0.0
2023-12-31,7.59,$-0.76,0.0
2023-09-30,5.5,$-1.02,0.0
2023-06-30,4.33,$-1.17,0.0
2023-03-31,5.05,$-1.20,0.0
2022-12-31,6.15,$-0.94,0.0
2022-09-30,4.97,$-1.01,0.0
