Scinai Immunotherapeutics Price to Free Cash Flow Ratio Historical Data,Scinai Immunotherapeutics Price to Free Cash Flow Ratio Historical Data,Scinai Immunotherapeutics Price to Free Cash Flow Ratio Historical Data,Scinai Immunotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.4,,0.0
2024-09-30,3.45,$-31.89,0.0
2024-03-31,5.19,$-19.07,0.0
2023-12-31,5.95,$-25.64,0.0
2023-09-30,8.7,$-24.18,0.0
2023-06-30,14.1,$-42.98,0.0
2023-03-31,21.6,$-43.71,0.0
2022-12-31,29.6,$-42.98,0.0
2022-09-30,73.0,$-90.66,0.0
2022-06-30,116.5,$-28.14,0.0
2022-03-31,166.0,$-53.55,0.0
2021-12-31,235.0,$-53.61,0.0
2021-09-30,220.0,$-85.42,0.0
2021-06-30,287.0,$-115.79,0.0
2021-03-31,380.0,$-229.15,0.0
2020-12-31,281.0,$-220.36,0.0
2020-09-30,3909.0,$-267.78,0.0
2020-06-30,2275.0,$-332.06,0.0
2020-03-31,770.0,$-234.55,0.0
2019-09-30,595.62,$-531.82,0.0
2019-03-31,543.0,$-328.35,0.0
2018-12-31,477.0,$-329.80,0.0
2018-09-30,560.01,$-332.39,0.0
2018-06-30,667.0,$-51.20,0.0
2018-03-31,543.28,$-138.62,0.0
2017-09-30,715.0,$-74.00,0.0
2017-03-31,580.0,$-65.17,0.0
2016-12-31,335.0,$-74.50,0.0
2016-09-30,368.0,$-135.79,0.0
2016-06-30,350.0,$-128.47,0.0
2016-03-31,373.0,$-103.48,0.0
