Boxlight Price to Free Cash Flow Ratio Historical Data,Boxlight Price to Free Cash Flow Ratio Historical Data,Boxlight Price to Free Cash Flow Ratio Historical Data,Boxlight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-09-30,0.53,$-0.01,0.0
2024-06-30,0.61,$1.53,0.4
2024-03-31,0.65,$5.28,0.12
2023-12-31,1.07,$5.43,0.2
2023-09-30,1.91,$4.47,0.43
2023-06-30,2.22,$4.52,0.49
2023-03-31,3.06,$2.57,1.19
2022-12-31,2.49,$-0.01,0.0
2022-09-30,4.96,$-16.70,0.0
2022-06-30,5.44,$-26.01,0.0
2022-03-31,9.6,$-27.09,0.0
2021-12-31,11.04,$-24.62,0.0
2021-09-30,18.0,$-6.50,0.0
2021-06-30,19.28,$6.23,3.1
2021-03-31,20.24,$-2.99,0.0
2020-12-31,12.24,$-4.67,0.0
2020-09-30,12.88,$1.08,11.98
2020-06-30,7.36,$-14.94,0.0
2020-03-31,4.56,$-21.02,0.0
2019-12-31,8.88,$-15.97,0.0
2019-09-30,14.72,$-23.61,0.0
2019-06-30,24.56,$-20.91,0.0
2019-03-31,25.6,$-4.49,0.0
2018-12-31,9.6,$-15.22,0.0
2018-09-30,23.36,$-24.46,0.0
