Unicycive Therapeutics Price to Free Cash Flow Ratio Historical Data,Unicycive Therapeutics Price to Free Cash Flow Ratio Historical Data,Unicycive Therapeutics Price to Free Cash Flow Ratio Historical Data,Unicycive Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.65,,0.0
2024-09-30,0.41,$-0.57,0.0
2024-06-30,0.5,$-0.26,0.0
2024-03-31,1.38,$-0.67,0.0
2023-12-31,0.87,$-0.75,0.0
2023-09-30,0.86,$-0.83,0.0
2023-06-30,1.28,$-1.26,0.0
2023-03-31,2.1,$-1.10,0.0
2022-12-31,0.54,$-1.04,0.0
2022-09-30,0.59,$-0.82,0.0
2022-06-30,0.83,$-0.90,0.0
