National Bankshares Price to Free Cash Flow Ratio Historical Data,National Bankshares Price to Free Cash Flow Ratio Historical Data,National Bankshares Price to Free Cash Flow Ratio Historical Data,National Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.1,,37.46
2024-09-30,29.19,$0.72,40.35
2024-06-30,27.61,$1.29,21.36
2024-03-31,31.85,$2.40,13.29
2023-12-31,30.84,$2.50,12.35
2023-09-30,23.21,$3.86,6.01
2023-06-30,27.06,$4.23,6.39
2023-03-31,28.41,$4.34,6.54
2022-12-31,35.53,$4.72,7.53
2022-09-30,29.18,$3.70,7.88
2022-06-30,27.14,$3.48,7.79
2022-03-31,31.47,$3.68,8.56
2021-12-31,30.31,$3.73,8.12
2021-09-30,30.13,$3.47,8.68
2021-06-30,29.05,$2.94,9.89
2021-03-31,28.88,$2.38,12.12
2020-12-31,25.47,$1.86,13.68
2020-09-30,20.13,$2.27,8.86
2020-06-30,22.73,$2.48,9.17
2020-03-31,24.77,$2.72,9.12
2019-12-31,34.88,$2.81,12.44
2019-09-30,30.61,$2.67,11.46
2019-06-30,29.76,$2.64,11.27
2019-03-31,32.2,$2.64,12.22
2018-12-31,27.38,$2.72,10.07
2018-09-30,33.68,$1.94,17.37
2018-06-30,34.39,$1.94,17.71
2018-03-31,32.99,$1.87,17.65
2017-12-31,33.28,$1.62,20.5
2017-09-30,32.47,$2.15,15.1
2017-06-30,29.47,$2.22,13.25
2017-03-31,26.75,$2.06,13.01
2016-12-31,30.95,$2.55,12.11
2016-09-30,25.78,$2.78,9.28
2016-06-30,24.47,$2.83,8.64
2016-03-31,23.65,$3.13,7.56
2015-12-31,24.5,$2.97,8.26
2015-09-30,21.06,$2.97,7.1
2015-06-30,19.81,$3.00,6.6
2015-03-31,19.83,$2.90,6.84
2014-12-31,20.2,$3.03,6.67
2014-09-30,18.1,$2.99,6.05
2014-06-30,20.14,$3.15,6.4
2014-03-31,23.4,$3.26,7.17
2013-12-31,23.65,$3.59,6.58
2013-09-30,22.66,$3.85,5.89
2013-06-30,22.43,$3.41,6.57
2013-03-31,21.71,$3.60,6.03
2012-12-31,20.13,$3.40,5.93
2012-09-30,20.25,$2.83,7.15
2012-06-30,18.37,$3.05,6.03
2012-03-31,18.03,$3.10,5.82
2011-12-31,16.72,$2.90,5.78
2011-09-30,14.17,$3.41,4.15
2011-06-30,14.7,$3.51,4.19
2011-03-31,16.67,$3.20,5.21
2010-12-31,18.16,$2.91,6.24
2010-09-30,14.63,$2.36,6.2
2010-06-30,13.74,$2.26,6.07
2010-03-31,15.18,$2.19,6.93
2009-12-31,15.76,$2.16,7.3
