PhenixFIN Price to Free Cash Flow Ratio Historical Data,PhenixFIN Price to Free Cash Flow Ratio Historical Data,PhenixFIN Price to Free Cash Flow Ratio Historical Data,PhenixFIN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.69,,0.0
2024-12-31,50.64,$-28.17,0.0
2024-09-30,47.61,$7.89,6.03
2024-06-30,46.77,$1.52,30.76
2024-03-31,42.86,$3.24,13.25
2023-12-31,41.06,$-4.40,0.0
2023-09-30,36.83,$-9.90,0.0
2023-06-30,36.93,$-5.87,0.0
2023-03-31,35.96,$-10.30,0.0
2022-12-31,30.18,$-10.90,0.0
2022-09-30,33.9,$-12.61,0.0
2022-06-30,35.34,$-6.04,0.0
2022-03-31,39.62,$-0.73,0.0
2021-12-31,40.51,$2.25,18.04
2021-09-30,41.55,$35.52,1.17
2021-06-30,39.52,$28.65,1.38
2021-03-31,31.89,$34.66,0.92
2020-12-31,27.42,$40.90,0.67
2020-09-30,17.27,$28.77,0.6
2020-06-30,0.74,$45.52,0.02
2020-03-31,0.56,$81.69,0.01
2019-12-31,1.88,$81.11,0.02
2019-09-30,2.18,$65.92,0.03
2019-06-30,1.97,$30.55,0.06
2019-03-31,2.62,$24.50,0.11
2018-12-31,2.24,$41.51,0.05
2018-09-30,3.22,$28.89,0.11
2018-06-30,2.92,$56.80,0.05
2018-03-31,3.35,$40.92,0.08
2017-12-31,4.4,$11.51,0.38
2017-09-30,4.89,$24.14,0.2
2017-06-30,5.1,$56.59,0.09
2017-03-31,6.14,$43.45,0.14
2016-12-31,5.99,$78.47,0.08
2016-09-30,5.93,$98.52,0.06
2016-06-30,5.2,$47.44,0.11
2016-03-31,4.9,$48.26,0.1
2015-12-31,5.58,$29.39,0.19
2015-09-30,5.52,$-7.12,0.0
2015-06-30,6.38,$-69.99,0.0
2015-03-31,6.35,$-91.19,0.0
2014-12-31,6.21,$-156.02,0.0
2014-09-30,7.69,$-168.79,0.0
2014-06-30,8.51,$-148.32,0.0
2014-03-31,8.61,$-188.29,0.0
2013-12-31,8.76,$-139.41,0.0
2013-09-30,8.5,$-210.26,0.0
2013-06-30,8.15,$-178.47,0.0
2013-03-31,9.29,$-182.78,0.0
2012-12-31,8.33,$-234.19,0.0
2012-09-30,7.84,$-186.97,0.0
2012-06-30,6.52,$-117.26,0.0
2012-03-31,5.94,$-87.83,0.0
2011-12-31,5.35,$-50.82,0.0
