Antelope Enterprise Holdings L Price to Free Cash Flow Ratio Historical Data,Antelope Enterprise Holdings L Price to Free Cash Flow Ratio Historical Data,Antelope Enterprise Holdings L Price to Free Cash Flow Ratio Historical Data,Antelope Enterprise Holdings L Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.11,,0.0
2016-12-31,6.84,$-12.56,0.0
2016-09-30,9.33,$-287.01,0.0
2016-06-30,6.27,$-387.77,0.0
2016-03-31,9.01,$-282.01,0.0
2015-12-31,23.52,$-5.04,0.0
2015-09-30,18.72,$294.45,0.06
2015-06-30,27.6,$435.70,0.06
2015-03-31,27.84,$119.01,0.23
2014-12-31,19.44,$64.63,0.3
2014-09-30,23.66,$162.87,0.15
2014-06-30,31.94,$-212.81,0.0
2014-03-31,38.68,$96.71,0.4
2013-12-31,57.2,$0.00,0.0
2013-09-30,75.18,$-143.71,0.0
2013-06-30,46.82,$299.06,0.16
2013-03-31,46.27,$299.53,0.15
2012-12-31,46.27,$320.68,0.14
2012-09-30,39.82,$451.22,0.09
2012-06-30,66.07,$176.88,0.37
2012-03-31,85.87,$-68.69,0.0
2011-12-31,62.2,$-564.51,0.0
2011-09-30,59.83,$-483.10,0.0
2011-06-30,96.63,$-537.45,0.0
2011-03-31,132.79,$-388.59,0.0
2010-12-31,168.52,$-30.49,0.0
2010-09-30,116.22,$473.94,0.25
2010-06-30,127.19,$627.17,0.2
2010-03-31,193.7,$627.17,0.31
2009-12-31,178.63,$627.17,0.28
