BWX Technologies Price to Free Cash Flow Ratio Historical Data,BWX Technologies Price to Free Cash Flow Ratio Historical Data,BWX Technologies Price to Free Cash Flow Ratio Historical Data,BWX Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,100.39,,36.19
2024-12-31,111.39,$2.77,40.16
2024-09-30,108.5,$2.19,49.49
2024-06-30,94.59,$2.75,34.42
2024-03-31,101.91,$2.81,36.31
2023-12-31,76.02,$2.31,32.88
2023-09-30,74.07,$0.93,79.63
2023-06-30,70.47,$0.73,95.95
2023-03-31,61.86,$0.67,92.44
2022-12-31,56.79,$0.51,112.25
2022-09-30,49.07,$0.94,52.36
2022-06-30,53.45,$0.67,80.14
2022-03-31,52.03,$0.20,259.61
2021-12-31,46.06,$0.79,58.07
2021-09-30,51.6,$-0.40,0.0
2021-06-30,55.47,$-1.16,0.0
2021-03-31,62.72,$0.09,660.92
2020-12-31,57.14,$-0.61,0.0
2020-09-30,53.2,$1.01,52.56
2020-06-30,53.33,$1.73,30.75
2020-03-31,45.71,$0.92,49.64
2019-12-31,58.04,$1.02,57.18
2019-09-30,53.34,$0.96,55.81
2019-06-30,48.43,$0.47,103.98
2019-03-31,45.92,$0.31,148.0
2018-12-31,35.29,$0.60,58.87
2018-09-30,57.51,$-0.39,0.0
2018-06-30,57.17,$0.73,78.57
2018-03-31,58.14,$1.56,37.15
2017-12-31,55.22,$1.25,44.31
2017-09-30,51.05,$2.16,23.6
2017-06-30,44.33,$1.64,27.08
2017-03-31,43.19,$1.34,32.22
2016-12-31,35.95,$1.80,19.94
2016-09-30,34.67,$1.35,25.73
2016-06-30,32.25,$2.60,12.4
2016-03-31,30.18,$2.42,12.49
2015-12-31,28.49,$2.48,11.49
2015-09-30,23.59,$3.08,7.66
2015-06-30,21.72,$1.76,12.32
2015-03-31,21.19,$1.11,19.17
2014-12-31,19.94,$0.04,467.06
2014-09-30,18.16,$-0.21,0.0
2014-06-30,21.22,$-0.48,0.0
2014-03-31,21.64,$-0.17,0.0
2013-12-31,22.22,$0.65,34.33
2013-09-30,21.85,$1.52,14.35
2013-06-30,19.4,$1.61,12.07
2013-03-31,18.3,$1.48,12.36
2012-12-31,16.83,$0.83,20.38
2012-09-30,16.31,$0.53,30.92
2012-06-30,15.68,$0.66,23.75
2012-03-31,16.48,$0.75,22.12
2011-12-31,15.45,$0.93,16.68
2011-09-30,12.52,$1.08,11.58
2011-06-30,17.74,$0.39,45.93
