Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data,Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data,Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data,Alliance Resource Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.68,,9.08
2024-12-31,26.29,$2.94,8.95
2024-09-30,24.36,$2.43,10.04
2024-06-30,23.12,$2.60,8.91
2024-03-31,18.38,$3.19,5.76
2023-12-31,18.75,$3.53,5.32
2023-09-30,19.35,$4.89,3.96
2023-06-30,15.33,$5.67,2.7
2023-03-31,16.15,$4.87,3.32
2022-12-31,15.76,$4.12,3.83
2022-09-30,17.4,$3.37,5.17
2022-06-30,13.61,$2.61,5.21
2022-03-31,11.31,$2.55,4.43
2021-12-31,9.1,$2.49,3.65
2021-09-30,7.69,$2.52,3.05
2021-06-30,5.04,$2.36,2.13
2021-03-31,3.98,$2.18,1.83
2020-12-31,3.08,$2.23,1.38
2020-09-30,1.9,$1.84,1.03
2020-06-30,2.24,$1.27,1.76
2020-03-31,2.13,$1.42,1.5
2019-12-31,7.11,$1.64,4.33
2019-09-30,10.08,$1.82,5.52
2019-06-30,10.35,$2.68,3.86
2019-03-31,12.06,$2.69,4.49
2018-12-31,10.0,$3.54,2.82
2018-09-30,11.45,$4.13,2.77
2018-06-30,10.03,$3.06,3.27
2018-03-31,9.38,$3.53,2.66
2017-12-31,10.2,$4.19,2.44
2017-09-30,9.76,$5.62,1.74
2017-06-30,9.29,$9.09,1.02
2017-03-31,10.44,$9.56,1.09
2016-12-31,10.63,$8.25,1.29
2016-09-30,10.31,$7.53,1.37
2016-06-30,7.16,$5.91,1.21
2016-03-31,5.14,$5.98,0.86
2015-12-31,5.67,$6.82,0.83
2015-09-30,9.08,$6.07,1.49
2015-06-30,9.89,$5.92,1.67
2015-03-31,12.98,$6.39,2.03
2014-12-31,16.44,$5.84,2.82
2014-09-30,16.14,$5.70,2.83
2014-06-30,17.35,$5.29,3.28
2014-03-31,15.44,$4.31,3.59
2013-12-31,13.92,$5.10,2.73
2013-09-30,13.2,$4.60,2.87
2013-06-30,12.38,$4.40,2.81
2013-03-31,10.99,$3.40,3.23
2012-12-31,9.84,$1.78,5.53
2012-09-30,9.99,$1.85,5.39
2012-06-30,9.19,$2.06,4.46
2012-03-31,9.68,$2.80,3.46
2011-12-31,12.02,$3.45,3.49
2011-09-30,10.3,$3.90,2.64
2011-06-30,12.01,$3.62,3.32
2011-03-31,12.48,$3.53,3.54
2010-12-31,9.96,$3.15,3.16
2010-09-30,8.71,$1.75,4.98
2010-06-30,6.61,$0.67,9.9
2010-03-31,6.06,$-0.08,0.0
2009-12-31,6.15,$-0.62,0.0
