Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data,Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data,Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data,Live Oak Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.4,,2.32
2024-12-31,39.55,$11.79,3.36
2024-09-30,47.34,$11.70,4.05
2024-06-30,35.01,$10.44,3.35
2024-03-31,41.45,$11.37,3.65
2023-12-31,45.4,$13.13,3.46
2023-09-30,28.86,$9.81,2.94
2023-06-30,26.21,$6.93,3.78
2023-03-31,24.24,$2.11,11.5
2022-12-31,30.02,$1.84,16.33
2022-09-30,30.39,$1.85,16.41
2022-06-30,33.62,$1.21,27.89
2022-03-31,50.45,$1.29,39.22
2021-12-31,86.5,$-2.37,0.0
2021-09-30,63.03,$-2.36,0.0
2021-06-30,58.42,$-7.14,0.0
2021-03-31,67.78,$-4.80,0.0
2020-12-31,46.94,$-6.41,0.0
2020-09-30,25.04,$-10.16,0.0
2020-06-30,14.32,$-7.55,0.0
2020-03-31,12.28,$-11.95,0.0
2019-12-31,18.69,$-12.39,0.0
2019-09-30,17.77,$-12.98,0.0
2019-06-30,16.81,$-7.34,0.0
2019-03-31,14.29,$-3.33,0.0
2018-12-31,14.46,$-2.51,0.0
2018-09-30,26.12,$-0.99,0.0
2018-06-30,29.85,$-5.74,0.0
2018-03-31,27.04,$-8.64,0.0
2017-12-31,23.17,$-10.83,0.0
2017-09-30,22.76,$-10.08,0.0
2017-06-30,23.45,$-8.59,0.0
2017-03-31,20.96,$-7.99,0.0
2016-12-31,17.9,$-6.60,0.0
2016-09-30,13.93,$-7.72,0.0
2016-06-30,13.62,$-16.25,0.0
