PVH Price to Free Cash Flow Ratio Historical Data,PVH Price to Free Cash Flow Ratio Historical Data,PVH Price to Free Cash Flow Ratio Historical Data,PVH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,64.83,,5.43
2024-10-31,98.43,$11.94,8.24
2024-07-31,101.91,$13.13,7.76
2024-04-30,108.72,$12.04,9.03
2024-01-31,120.14,$11.75,10.23
2023-10-31,74.24,$5.91,12.56
2023-07-31,89.47,$1.55,57.82
2023-04-30,85.61,$-0.71,0.0
2023-01-31,89.65,$-3.79,0.0
2022-10-31,51.15,$-1.82,0.0
2022-07-31,61.67,$4.05,15.21
2022-04-30,72.44,$9.28,7.8
2022-01-31,94.52,$11.17,8.46
2021-10-31,108.74,$8.59,12.65
2021-07-31,104.05,$7.70,13.51
2021-04-30,112.57,$6.12,18.4
2021-01-31,84.8,$6.62,12.82
2020-10-31,57.97,$10.12,5.73
2020-07-31,48.4,$8.80,5.5
2020-04-30,48.96,$9.03,5.42
2020-01-31,86.6,$9.85,8.8
2019-10-31,86.56,$9.14,9.47
2019-07-31,88.26,$7.26,12.15
2019-04-30,127.99,$6.73,19.01
2019-01-31,108.23,$6.12,17.69
2018-10-31,119.78,$4.52,26.5
2018-07-31,152.2,$5.29,28.79
2018-04-30,158.26,$2.69,58.89
2018-01-31,153.67,$3.68,41.72
2017-10-31,125.62,$2.59,48.41
2017-07-31,118.13,$4.61,25.62
2017-04-30,100.01,$5.95,16.81
2017-01-31,92.83,$8.32,11.16
2016-10-31,105.82,$10.42,10.15
2016-07-31,99.93,$9.03,11.06
2016-04-30,94.49,$8.35,11.32
2016-01-31,72.49,$7.72,9.39
2015-10-31,89.81,$7.23,12.42
2015-07-31,114.55,$8.25,13.88
2015-04-30,101.99,$7.77,13.12
2015-01-31,108.77,$6.40,16.99
2014-10-31,112.77,$5.50,20.5
2014-07-31,108.62,$3.69,29.45
2014-04-30,123.76,$3.15,39.27
2014-01-31,119.09,$2.12,56.28
2013-10-31,122.7,$1.27,96.28
2013-07-31,129.78,$2.39,54.3
2013-04-30,113.61,$3.13,36.26
2013-01-31,116.98,$4.86,24.08
2012-10-31,108.2,$5.65,19.17
2012-07-31,78.11,$5.19,15.06
2012-04-30,87.28,$4.47,19.53
2012-01-31,75.84,$4.40,17.23
2011-10-31,73.07,$3.40,21.48
2011-07-31,70.21,$3.72,18.87
2011-04-30,69.06,$4.09,16.86
2011-01-31,57.21,$3.83,14.93
2010-10-31,60.09,$3.65,16.46
2010-07-31,50.79,$3.36,15.13
2010-04-30,61.63,$3.30,18.7
2010-01-31,38.41,$3.63,10.58
2009-10-31,39.21,$4.07,9.63
