DatChat Price to Free Cash Flow Ratio Historical Data,DatChat Price to Free Cash Flow Ratio Historical Data,DatChat Price to Free Cash Flow Ratio Historical Data,DatChat Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.32,,0.0
2024-09-30,1.3,$-1.91,0.0
2024-06-30,1.12,$-2.54,0.0
2024-03-31,1.44,$-2.92,0.0
2023-12-31,2.87,$-3.24,0.0
2023-09-30,2.65,$-3.32,0.0
2023-06-30,0.55,$-3.28,0.0
2023-03-31,0.57,$-3.34,0.0
2022-12-31,0.25,$-3.63,0.0
2022-09-30,0.72,$-6.71,0.0
2022-06-30,1.09,$-7.45,0.0
