Polaris Price to Free Cash Flow Ratio Historical Data,Polaris Price to Free Cash Flow Ratio Historical Data,Polaris Price to Free Cash Flow Ratio Historical Data,Polaris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.14,,368.36
2024-12-31,57.62,$0.11,503.67
2024-09-30,82.44,$5.47,15.08
2024-06-30,76.94,$4.71,16.32
2024-03-31,98.37,$5.28,18.64
2023-12-31,92.45,$8.89,10.39
2023-09-30,100.8,$5.81,17.36
2023-06-30,116.38,$8.73,13.33
2023-03-31,105.83,$5.59,18.94
2022-12-31,96.07,$3.36,28.58
2022-09-30,90.47,$-0.58,0.0
2022-06-30,93.37,$-4.12,0.0
2022-03-31,98.46,$-1.71,0.0
2021-12-31,102.22,$0.17,588.13
2021-09-30,110.66,$3.77,29.33
2021-06-30,126.0,$10.79,11.68
2021-03-31,122.23,$15.08,8.1
2020-12-31,86.77,$13.01,6.67
2020-09-30,85.36,$11.18,7.64
2020-06-30,83.23,$9.02,9.23
2020-03-31,43.02,$6.32,6.81
2019-12-31,90.2,$6.48,13.92
2019-09-30,77.57,$4.81,16.13
2019-06-30,79.81,$4.06,19.65
2019-03-31,73.31,$3.09,23.71
2018-12-31,66.1,$3.94,16.78
2018-09-30,86.49,$3.54,24.43
2018-06-30,104.1,$4.34,23.98
2018-03-31,97.06,$5.21,18.62
2017-12-31,104.53,$6.25,16.73
2017-09-30,87.81,$7.47,11.75
2017-06-30,76.92,$5.15,14.94
2017-03-31,69.41,$4.70,14.77
2016-12-31,67.79,$5.84,11.61
2016-09-30,63.32,$2.32,27.34
2016-06-30,66.44,$6.34,10.48
2016-03-31,79.52,$4.49,17.7
2015-12-31,68.99,$2.83,24.41
2015-09-30,95.73,$6.00,15.95
2015-06-30,117.81,$4.34,27.15
2015-03-31,111.83,$4.29,26.08
2014-12-31,119.46,$4.75,25.14
2014-09-30,117.95,$4.19,28.18
2014-06-30,102.22,$3.71,27.58
2014-03-31,109.25,$3.38,32.33
2013-12-31,113.48,$3.41,33.24
2013-09-30,100.34,$4.40,22.81
2013-06-30,73.51,$4.03,18.24
2013-03-31,71.25,$4.82,14.78
2012-12-31,64.52,$4.41,14.63
2012-09-30,61.73,$3.83,16.13
2012-06-30,54.3,$3.29,16.51
2012-03-31,54.55,$2.96,18.4
2011-12-31,42.09,$3.07,13.72
2011-09-30,37.43,$3.65,10.26
2011-06-30,41.48,$3.29,12.61
2011-03-31,32.33,$3.38,9.56
2010-12-31,28.81,$3.52,8.19
2010-09-30,23.91,$3.02,7.92
2010-06-30,19.92,$3.30,6.04
2010-03-31,18.54,$2.91,6.37
2009-12-31,15.67,$2.26,6.95
