Schneider National Price to Free Cash Flow Ratio Historical Data,Schneider National Price to Free Cash Flow Ratio Historical Data,Schneider National Price to Free Cash Flow Ratio Historical Data,Schneider National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.15,,16.6
2024-12-31,29.28,$1.39,20.99
2024-09-30,28.45,$1.16,24.5
2024-06-30,24.0,$0.72,33.26
2024-03-31,22.49,$-0.32,0.0
2023-12-31,25.18,$0.01,0.0
2023-09-30,27.3,$0.07,404.98
2023-06-30,28.22,$0.26,108.62
2023-03-31,26.2,$1.26,20.78
2022-12-31,22.84,$1.62,14.13
2022-09-30,19.75,$1.71,11.58
2022-06-30,21.7,$1.56,13.95
2022-03-31,24.64,$1.20,20.47
2021-12-31,25.92,$1.14,22.71
2021-09-30,21.84,$0.75,29.01
2021-06-30,20.85,$1.16,17.98
2021-03-31,23.84,$1.67,14.25
2020-12-31,19.71,$1.61,12.21
2020-09-30,21.43,$2.57,8.33
2020-06-30,21.32,$2.44,8.75
2020-03-31,16.67,$1.57,10.6
2019-12-31,18.73,$1.47,12.74
2019-09-30,18.6,$0.58,31.82
2019-06-30,15.58,$0.35,44.47
2019-03-31,17.92,$0.84,21.35
2018-12-31,15.85,$0.82,19.43
2018-09-30,21.14,$0.90,23.58
2018-06-30,23.23,$0.46,50.68
2018-03-31,21.96,$0.34,65.53
