PetMed Express Price to Free Cash Flow Ratio Historical Data,PetMed Express Price to Free Cash Flow Ratio Historical Data,PetMed Express Price to Free Cash Flow Ratio Historical Data,PetMed Express Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.04,,90.99
2024-12-31,4.82,$0.04,108.56
2024-09-30,3.68,$-0.04,0.0
2024-06-30,4.05,$-0.42,0.0
2024-03-31,4.79,$-0.01,0.0
2023-12-31,7.56,$0.08,89.26
2023-09-30,10.25,$0.86,11.93
2023-06-30,13.47,$0.81,16.57
2023-03-31,15.55,$1.11,14.03
2022-12-31,16.69,$1.13,14.77
2022-09-30,18.13,$0.95,19.0
2022-06-30,18.23,$1.13,16.09
2022-03-31,23.29,$0.82,28.32
2021-12-31,22.53,$1.31,17.25
2021-09-30,23.73,$1.18,20.08
2021-06-30,27.84,$2.39,11.64
2021-03-31,30.42,$1.87,16.26
2020-12-31,27.52,$1.82,15.14
2020-09-30,26.89,$1.67,16.09
2020-06-30,30.04,$1.26,23.78
2020-03-31,24.05,$1.82,13.2
2019-12-31,19.44,$1.62,11.99
2019-09-30,14.72,$2.05,7.2
2019-06-30,12.59,$1.10,11.42
2019-03-31,18.06,$2.17,8.31
2018-12-31,18.23,$1.64,11.11
2018-09-30,25.62,$1.89,13.57
2018-06-30,33.95,$2.18,15.57
2018-03-31,31.95,$1.79,17.8
2017-12-31,34.62,$2.42,14.29
2017-09-30,25.09,$1.60,15.69
2017-06-30,30.6,$1.96,15.63
2017-03-31,15.09,$1.80,8.4
2016-12-31,17.13,$0.00,0.0
2016-09-30,14.91,$0.44,34.15
2016-06-30,13.67,$0.03,423.13
2016-03-31,12.92,$0.05,283.26
2015-12-31,12.23,$1.21,10.11
2015-09-30,11.36,$1.08,10.54
2015-06-30,12.06,$1.37,8.83
2015-03-31,11.41,$1.55,7.38
2014-12-31,9.82,$1.24,7.93
2014-09-30,9.17,$0.61,15.03
2014-06-30,8.98,$0.39,23.09
2014-03-31,8.82,$0.67,13.13
2013-12-31,10.79,$0.44,24.51
2013-09-30,10.44,$1.08,9.71
2013-06-30,8.0,$0.95,8.4
2013-03-31,8.42,$0.63,13.33
2012-12-31,6.89,$1.37,5.02
2012-09-30,5.65,$0.95,5.93
2012-06-30,6.73,$1.23,5.46
2012-03-31,6.77,$0.95,7.12
2011-12-31,5.6,$0.58,9.64
2011-09-30,4.8,$0.91,5.28
2011-06-30,6.24,$0.54,11.61
2011-03-31,8.27,$1.30,6.36
2010-12-31,9.21,$1.31,7.04
2010-09-30,8.98,$1.21,7.43
2010-06-30,9.06,$1.05,8.66
2010-03-31,11.23,$1.17,9.59
2009-12-31,8.9,$1.73,5.14
