OppFi Price to Free Cash Flow Ratio Historical Data,OppFi Price to Free Cash Flow Ratio Historical Data,OppFi Price to Free Cash Flow Ratio Historical Data,OppFi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.91,,0.64
2024-12-31,7.66,$15.43,0.5
2024-09-30,4.73,$16.30,0.29
2024-06-30,3.39,$16.55,0.2
2024-03-31,2.5,$14.18,0.18
2023-12-31,5.12,$17.52,0.29
2023-09-30,2.52,$3.25,0.78
2023-06-30,2.04,$10.03,0.2
2023-03-31,2.05,$6.43,0.32
2022-12-31,2.05,$2.73,0.75
2022-09-30,2.3,$12.12,0.19
2022-06-30,3.29,$2.95,1.12
2022-03-31,3.43,$2.30,1.49
2021-12-31,4.54,$1.81,2.51
2021-09-30,7.86,$1.30,6.06
