Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data,Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data,Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data,Jefferies Financial Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,59.18,,0.0
2024-11-30,79.14,$-2.06,0.0
2024-08-31,59.67,$-9.16,0.0
2024-05-31,46.02,$-8.52,0.0
2024-02-29,41.11,$-6.95,0.0
2023-11-30,34.59,$-8.18,0.0
2023-08-31,34.53,$-7.39,0.0
2023-05-31,28.84,$0.57,50.64
2023-02-28,35.88,$3.41,10.52
2022-11-30,35.8,$6.18,5.79
2022-08-31,29.99,$10.41,2.88
2022-05-31,30.6,$8.75,3.5
2022-02-28,32.61,$6.13,5.32
2021-11-30,34.21,$5.22,6.56
2021-08-31,33.45,$2.28,14.64
2021-05-31,28.87,$2.50,11.57
2021-02-28,25.94,$4.07,6.37
2020-11-30,20.16,$6.47,3.12
2020-08-31,15.46,$5.20,2.97
2020-05-31,12.8,$1.71,7.47
2020-02-29,17.02,$-3.92,0.0
2019-11-30,17.93,$-3.34,0.0
2019-08-31,14.87,$-3.19,0.0
2019-05-31,14.0,$-1.71,0.0
2019-02-28,15.95,$0.61,26.19
2018-11-30,17.09,$2.31,7.39
2018-09-30,17.08,$0.99,17.29
2018-06-30,17.59,$-2.13,0.0
2018-05-31,16.85,$-0.26,0.0
2018-03-31,17.51,$-0.18,0.0
2018-02-28,18.4,$1.39,13.23
2017-12-31,20.32,$4.73,4.3
2017-11-30,20.1,$0.89,22.47
2017-09-30,19.29,$2.69,7.17
2017-06-30,19.99,$1.95,10.24
2017-03-31,19.82,$2.08,9.55
2016-12-31,17.68,$4.11,4.3
2016-09-30,14.44,$0.36,40.31
2016-06-30,13.1,$0.75,17.59
2016-03-31,12.18,$-1.69,0.0
2015-12-31,13.05,$-2.37,0.0
2015-09-30,15.14,$-3.71,0.0
2015-06-30,18.1,$-5.99,0.0
2015-03-31,16.57,$-6.31,0.0
2014-12-31,16.62,$-10.24,0.0
2014-09-30,17.63,$-4.51,0.0
2014-06-30,19.34,$-2.16,0.0
2014-03-31,20.6,$-0.01,0.0
2013-12-31,20.8,$1.61,12.89
2013-09-30,19.95,$2.32,8.6
2013-06-30,19.16,$1.82,10.55
2013-03-31,20.0,$0.51,39.42
2012-12-31,16.85,$5.54,3.04
2012-09-30,15.94,$0.87,18.38
2012-06-30,14.9,$0.17,87.29
2012-03-31,18.28,$-0.17,0.0
2011-12-31,15.93,$-2.32,0.0
2011-09-30,15.71,$0.03,458.01
2011-06-30,23.62,$0.38,62.34
2011-03-31,26.0,$0.35,73.5
2010-12-31,20.21,$0.67,30.12
2010-09-30,16.22,$0.09,177.03
2010-06-30,13.39,$-0.57,0.0
2010-03-31,17.03,$-0.58,0.0
2009-12-31,16.33,$-1.17,0.0
