51Talk Online Education Group Price to Free Cash Flow Ratio Historical Data,51Talk Online Education Group Price to Free Cash Flow Ratio Historical Data,51Talk Online Education Group Price to Free Cash Flow Ratio Historical Data,51Talk Online Education Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.72,,475.31
2024-09-30,16.52,$0.05,345.66
2024-06-30,13.07,$0.05,273.43
2024-03-31,7.63,$0.05,159.62
2023-12-31,8.03,$0.05,168.01
2023-09-30,8.8,$-8.15,0.0
2023-06-30,8.9,$-8.15,0.0
2023-03-31,6.85,$-8.15,0.0
2022-12-31,6.3,$-8.15,0.0
2022-09-30,7.68,0,0.0
2022-06-30,5.52,0,0.0
2022-03-31,7.0,$18.78,0.37
2021-06-30,31.32,$18.78,1.67
2021-03-31,81.4,$14.51,5.61
2020-12-31,108.44,$18.78,5.77
2020-09-30,76.28,$10.86,7.03
2020-06-30,102.72,$10.86,9.46
2020-03-31,116.0,$15.12,7.67
2019-12-31,39.28,$10.86,3.62
2019-09-30,30.32,$0.35,86.9
2019-06-30,30.16,$0.35,86.44
2019-03-31,25.2,$0.35,72.23
2018-12-31,28.88,$0.35,82.77
2018-09-30,36.0,$0.60,59.82
2018-06-30,43.2,$0.60,71.78
2018-03-31,38.88,$0.60,64.61
2017-12-31,50.0,$0.60,83.08
2017-09-30,57.16,$-0.36,0.0
2017-06-30,64.08,$-0.36,0.0
2017-03-31,76.88,$-0.36,0.0
