Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.06,,21.16
2024-12-31,27.4,$1.33,20.66
2024-09-30,21.83,$0.93,23.41
2024-06-30,19.38,$0.96,20.26
2024-03-31,17.61,$0.93,18.87
2023-12-31,16.67,$1.04,15.97
2023-09-30,15.39,$1.52,10.16
2023-06-30,15.74,$1.26,12.51
2023-03-31,15.74,$1.34,11.79
2022-12-31,16.01,$1.27,12.64
2022-09-30,14.51,$1.41,10.27
2022-06-30,14.39,$1.05,13.65
2022-03-31,15.99,$1.04,15.39
2021-12-31,13.2,$1.45,9.11
2021-09-30,13.71,$1.77,7.74
2021-06-30,14.71,$2.38,6.18
2021-03-31,13.23,$2.23,5.93
2020-12-31,10.66,$1.72,6.19
2020-09-30,9.41,$1.29,7.31
2020-06-30,11.36,$1.22,9.35
2020-03-31,10.24,$1.27,8.08
2019-12-31,15.39,$1.10,14.05
2019-09-30,14.8,$1.13,13.12
2019-06-30,14.82,$0.98,15.17
2019-03-31,14.02,$0.91,15.39
2018-12-31,10.66,$0.99,10.72
2018-09-30,12.14,$0.67,18.06
2018-06-30,11.97,$0.74,16.11
2018-03-31,10.07,$0.67,15.09
2017-12-31,12.0,$0.68,17.53
2017-09-30,12.65,$0.79,16.11
2017-06-30,12.56,$0.90,13.96
2017-03-31,14.17,$1.01,13.99
2016-12-31,13.42,$0.84,15.98
2016-09-30,14.9,$0.92,16.13
2016-06-30,11.99,$0.65,18.56
2016-03-31,11.35,$0.37,30.51
2015-12-31,9.41,$-0.28,0.0
2015-09-30,17.13,$-1.75,0.0
2015-06-30,23.44,$-1.50,0.0
2015-03-31,25.39,$-1.40,0.0
2014-12-31,25.27,$-0.47,0.0
2014-09-30,22.64,$1.28,17.67
2014-06-30,21.16,$1.24,17.09
2014-03-31,18.72,$1.00,18.76
2013-12-31,20.5,$0.92,22.33
2013-09-30,20.02,$0.59,33.99
2013-06-30,21.25,$0.61,34.87
2013-03-31,21.34,$0.65,32.94
2012-12-31,19.3,$0.63,30.49
2012-09-30,19.2,$0.47,40.74
2012-06-30,17.25,$-0.09,0.0
2012-03-31,20.51,$0.04,576.13
2011-12-31,16.91,$0.01,0.0
