PainReform Price to Free Cash Flow Ratio Historical Data,PainReform Price to Free Cash Flow Ratio Historical Data,PainReform Price to Free Cash Flow Ratio Historical Data,PainReform Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.76,,0.0
2024-03-31,1.82,$-69.21,0.0
2023-12-31,2.75,$-73.27,0.0
2023-03-31,0.69,$-116.24,0.0
