Scorpius Holdings Price to Free Cash Flow Ratio Historical Data,Scorpius Holdings Price to Free Cash Flow Ratio Historical Data,Scorpius Holdings Price to Free Cash Flow Ratio Historical Data,Scorpius Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.17,,0.0
2024-09-30,0.72,$-11.80,0.0
2024-06-30,0.08,$-114.37,0.0
2024-03-31,0.16,$-172.29,0.0
2023-12-31,0.44,$-255.67,0.0
2023-09-30,0.53,$-311.70,0.0
2023-06-30,0.67,$-337.10,0.0
2023-03-31,0.87,$-229.03,0.0
2022-12-31,0.81,$-198.63,0.0
2022-09-30,1.73,$-231.38,0.0
2022-06-30,2.55,$-242.15,0.0
2022-03-31,3.06,$-366.63,0.0
2021-12-31,3.04,$-321.37,0.0
2021-09-30,5.95,$-348.66,0.0
2021-06-30,6.73,$-232.58,0.0
2021-03-31,7.28,$-180.86,0.0
2020-12-31,5.36,$-279.76,0.0
2020-09-30,8.68,$-171.96,0.0
2020-06-30,5.9,$-361.65,0.0
2020-03-31,3.99,$-510.68,0.0
2019-12-31,3.33,$-546.51,0.0
2019-09-30,3.4,"$-1,364.59",0.0
2019-06-30,4.8,$-970.75,0.0
2019-03-31,8.89,$-708.29,0.0
2018-12-31,6.86,"$-1,785.42",0.0
2018-09-30,14.0,$439.12,0.03
2018-06-30,15.05,"$-1,316.99",0.0
2018-03-31,11.48,"$-3,606.71",0.0
2017-12-31,26.8,"$-2,352.87",0.0
2017-09-30,45.72,"$-3,749.38",0.0
2017-06-30,42.63,"$-2,206.35",0.0
2017-03-31,62.3,$-8.28,0.0
2016-12-31,59.85,$-7.72,0.0
2016-09-30,95.9,$-1.26,0.0
2016-06-30,49.7,$-1.71,0.0
2016-03-31,48.55,$-2.08,0.0
2015-12-31,170.8,$-2.19,0.0
2015-09-30,323.4,$-1.87,0.0
2015-06-30,420.0,$-1.82,0.0
2015-03-31,445.2,$-1.88,0.0
2014-12-31,321.3,$-1.60,0.0
2014-09-30,445.94,$-1.94,0.0
2014-06-30,388.5,$-2.49,0.0
