Spire Price to Free Cash Flow Ratio Historical Data,Spire Price to Free Cash Flow Ratio Historical Data,Spire Price to Free Cash Flow Ratio Historical Data,Spire Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,77.41,,106.45
2024-12-31,67.83,$0.73,93.28
2024-09-30,66.53,$0.91,73.3
2024-06-30,59.35,$0.71,83.14
2024-03-31,59.22,$0.89,66.49
2023-12-31,59.42,$-0.96,0.0
2023-09-30,53.29,$-4.23,0.0
2023-06-30,59.03,$-7.26,0.0
2023-03-31,64.56,$-9.65,0.0
2022-12-31,62.71,$-8.47,0.0
2022-09-30,56.16,$-9.54,0.0
2022-06-30,66.37,$-6.35,0.0
2022-03-31,63.47,$-6.79,0.0
2021-12-31,57.11,$-11.50,0.0
2021-09-30,52.99,$-7.25,0.0
2021-06-30,61.98,$-7.55,0.0
2021-03-31,62.82,$-5.60,0.0
2020-12-31,53.96,$-3.81,0.0
2020-09-30,44.38,$-3.28,0.0
2020-06-30,54.2,$-4.45,0.0
2020-03-31,60.91,$-6.25,0.0
2019-12-31,67.58,$-7.15,0.0
2019-09-30,70.22,$-7.33,0.0
2019-06-30,67.08,$-7.74,0.0
2019-03-31,65.31,$-4.37,0.0
2018-12-31,58.36,$-1.63,0.0
2018-09-30,57.52,$-0.87,0.0
2018-06-30,54.84,$-0.08,0.0
2018-03-31,55.65,$-2.10,0.0
2017-12-31,57.37,$-3.38,0.0
2017-09-30,56.59,$-3.19,0.0
2017-06-30,52.51,$-2.37,0.0
2017-03-31,50.45,$-1.15,0.0
2016-12-31,47.85,$-0.27,0.0
2016-09-30,46.86,$0.79,59.31
2016-06-30,51.7,$0.60,85.81
2016-03-31,49.08,$0.06,852.09
2015-12-31,42.72,$2.27,18.86
2015-09-30,38.88,$0.75,51.64
2015-06-30,36.79,$0.26,141.21
2015-03-31,35.87,$-0.19,0.0
2014-12-31,36.91,$-2.01,0.0
2014-09-30,31.92,$-1.04,0.0
2014-06-30,33.09,$1.07,31.07
2014-03-31,31.84,$0.36,88.88
2013-12-31,30.46,$1.13,26.99
2013-09-30,29.8,$1.27,23.41
2013-06-30,29.95,$1.25,24.06
2013-03-31,27.75,$3.03,9.17
2012-12-31,24.84,$2.88,8.63
2012-09-30,27.37,$0.87,31.62
2012-06-30,25.09,$-0.16,0.0
2012-03-31,24.33,$0.90,27.13
2011-12-31,24.98,$1.86,13.42
2011-09-30,23.66,$4.49,5.27
2011-06-30,22.86,$3.88,5.88
2011-03-31,22.77,$5.19,4.38
2010-12-31,21.61,$2.33,9.27
2010-09-30,20.13,$2.27,8.89
2010-06-30,19.15,$5.15,3.72
2010-03-31,19.25,$6.79,2.84
2009-12-31,19.05,$7.52,2.53
