Chemours Price to Free Cash Flow Ratio Historical Data,Chemours Price to Free Cash Flow Ratio Historical Data,Chemours Price to Free Cash Flow Ratio Historical Data,Chemours Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.67,,0.0
2024-12-31,16.9,$-6.59,0.0
2024-09-30,20.05,$-4.44,0.0
2024-06-30,21.98,$-3.64,0.0
2024-03-31,25.36,$1.02,24.88
2023-12-31,30.2,$2.21,13.67
2023-09-30,26.61,$0.64,41.4
2023-06-30,34.74,$0.87,39.76
2023-03-31,27.95,$2.25,12.41
2022-12-31,28.38,$3.04,9.34
2022-09-30,22.67,$2.99,7.59
2022-06-30,29.25,$2.98,9.82
2022-03-31,28.58,$2.67,10.7
2021-12-31,30.19,$3.18,9.48
2021-09-30,25.94,$4.24,6.11
2021-06-30,30.84,$4.31,7.16
2021-03-31,24.56,$3.50,7.02
2020-12-31,21.58,$3.25,6.65
2020-09-30,18.0,$3.28,5.48
2020-06-30,13.06,$2.72,4.8
2020-03-31,7.39,$1.68,4.4
2019-12-31,14.83,$1.03,14.46
2019-09-30,12.08,$-0.25,0.0
2019-06-30,19.01,$0.06,331.2
2019-03-31,29.13,$1.99,14.65
2018-12-31,21.98,$3.52,6.25
2018-09-30,30.47,$3.68,8.29
2018-06-30,34.07,$2.44,13.99
2018-03-31,37.29,$1.85,20.2
2017-12-31,38.2,$1.20,31.85
2017-09-30,38.59,$1.39,27.85
2017-06-30,28.9,$2.08,13.88
2017-03-31,29.32,$1.54,19.04
2016-12-31,16.81,$1.40,12.04
2016-09-30,12.16,$1.45,8.37
2016-06-30,6.25,$-2.09,0.0
