Utah Medical Products Price to Free Cash Flow Ratio Historical Data,Utah Medical Products Price to Free Cash Flow Ratio Historical Data,Utah Medical Products Price to Free Cash Flow Ratio Historical Data,Utah Medical Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.41,,11.94
2024-09-30,66.59,$4.81,13.85
2024-06-30,66.19,$5.04,13.14
2024-03-31,70.13,$5.52,12.71
2023-12-31,82.71,$5.95,13.9
2023-09-30,84.16,$6.05,13.92
2023-06-30,90.89,$6.15,14.78
2023-03-31,92.13,$6.16,14.95
2022-12-31,97.43,$5.58,17.45
2022-09-30,82.43,$5.34,15.45
2022-06-30,82.72,$5.49,15.07
2022-03-31,86.24,$5.44,15.84
2021-12-31,95.66,$5.64,16.95
2021-09-30,87.19,$5.89,14.8
2021-06-30,79.61,$5.63,14.15
2021-03-31,80.8,$5.36,15.08
2020-12-31,78.41,$5.25,14.94
2020-09-30,74.05,$5.14,14.41
2020-06-30,81.88,$5.46,14.99
2020-03-31,86.65,$4.92,17.6
2019-12-31,99.09,$4.42,22.43
2019-09-30,87.79,$4.15,21.16
2019-06-30,87.42,$3.69,23.69
2019-03-31,80.34,$4.55,17.65
2018-12-31,75.39,$4.61,16.34
2018-09-30,85.21,$4.30,19.82
2018-06-30,99.35,$4.29,23.14
2018-03-31,88.93,$3.92,22.7
2017-12-31,73.03,$4.10,17.82
2017-09-30,65.76,$3.35,19.65
2017-06-30,64.5,$2.99,21.54
2017-03-31,55.29,$3.03,18.23
2016-12-31,64.29,$2.98,21.55
2016-09-30,52.64,$3.91,13.45
2016-06-30,55.23,$4.15,13.3
2016-03-31,54.6,$4.12,13.24
2015-12-31,50.9,$3.61,14.09
2015-09-30,46.62,$3.74,12.47
2015-06-30,51.35,$3.97,12.94
2015-03-31,51.32,$4.03,12.75
2014-12-31,51.27,$3.78,13.55
2014-09-30,41.44,$3.47,11.96
2014-06-30,43.5,$3.17,13.74
2014-03-31,48.68,$2.79,17.42
2013-12-31,47.9,$3.17,15.11
2013-09-30,49.57,$3.16,15.7
2013-06-30,45.06,$3.17,14.22
2013-03-31,40.26,$3.38,11.92
2012-12-31,29.61,$3.59,8.26
2012-09-30,27.73,$3.71,7.47
2012-06-30,27.17,$3.60,7.55
2012-03-31,25.02,$3.21,7.79
2011-12-31,21.55,$3.05,7.06
2011-09-30,20.95,$2.53,8.29
2011-06-30,20.58,$1.92,10.69
2011-03-31,22.45,$1.71,13.1
2010-12-31,20.7,$1.54,13.41
2010-09-30,21.78,$1.67,13.01
2010-06-30,18.4,$2.04,9.0
2010-03-31,20.58,$1.82,11.31
2009-12-31,21.28,$1.86,11.43
