SigmaTron Price to Free Cash Flow Ratio Historical Data,SigmaTron Price to Free Cash Flow Ratio Historical Data,SigmaTron Price to Free Cash Flow Ratio Historical Data,SigmaTron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.2,,0.22
2025-01-31,1.61,$5.47,0.29
2024-10-31,2.69,$4.06,0.66
2024-07-31,3.35,$3.78,0.89
2024-04-30,4.24,$4.55,0.93
2024-01-31,3.18,$4.39,0.73
2023-10-31,2.97,$2.85,1.04
2023-07-31,5.96,$1.01,5.88
2023-04-30,2.32,$-2.90,0.0
2023-01-31,3.76,$-5.62,0.0
2022-10-31,4.73,$-3.97,0.0
2022-07-31,7.0,$-6.17,0.0
2022-04-30,6.66,$-3.73,0.0
2022-01-31,8.17,$-2.43,0.0
2021-10-31,8.8,$-2.50,0.0
2021-07-31,6.06,$1.92,3.16
2021-04-30,5.11,$0.78,6.56
2021-01-31,5.08,$-0.12,0.0
2020-10-31,3.21,$0.26,12.58
2020-07-31,3.1,$0.30,10.48
2020-04-30,2.95,$2.53,1.17
2020-01-31,4.0,$3.54,1.13
2019-10-31,4.18,$2.86,1.46
2019-07-31,4.23,$0.84,5.04
2019-04-30,2.74,$-0.94,0.0
2019-01-31,2.66,$-1.04,0.0
2018-10-31,4.25,$-1.94,0.0
2018-07-31,6.99,$-2.25,0.0
2018-04-30,6.78,$-2.07,0.0
2018-01-31,9.02,$-2.84,0.0
2017-10-31,9.61,$-1.49,0.0
2017-07-31,8.36,$-0.91,0.0
2017-04-30,5.41,$-0.84,0.0
2017-01-31,4.51,$0.21,21.28
2016-10-31,5.26,$-0.33,0.0
2016-07-31,5.88,$0.41,14.37
2016-04-30,6.15,$2.43,2.54
2016-01-31,6.6,$1.66,3.98
2015-10-31,6.62,$0.93,7.13
2015-07-31,6.45,$0.04,147.59
2015-04-30,8.05,$-1.87,0.0
2015-01-31,5.82,$-1.30,0.0
2014-10-31,7.0,$-1.36,0.0
2014-07-31,11.14,$-1.58,0.0
2014-04-30,10.32,$-1.57,0.0
2014-01-31,9.34,$-1.55,0.0
2013-10-31,5.21,$-1.36,0.0
2013-07-31,4.18,$-0.08,0.0
2013-04-30,4.13,$-0.86,0.0
2013-01-31,5.15,$-0.24,0.0
2012-10-31,4.53,$2.62,1.73
2012-07-31,3.49,$1.83,1.91
2012-04-30,3.77,$1.92,1.96
2012-01-31,3.73,$1.82,2.05
2011-10-31,3.74,$0.74,5.07
2011-07-31,4.8,$-1.17,0.0
2011-04-30,5.29,$-1.31,0.0
2011-01-31,7.26,$-3.17,0.0
2010-10-31,5.58,$-3.26,0.0
2010-07-31,5.32,$-0.43,0.0
2010-04-30,6.13,$1.42,4.32
2010-01-31,5.91,$3.92,1.51
2009-10-31,3.3,$3.84,0.86
