TechTarget Price to Free Cash Flow Ratio Historical Data,TechTarget Price to Free Cash Flow Ratio Historical Data,TechTarget Price to Free Cash Flow Ratio Historical Data,TechTarget Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.26,,9.55
2024-09-30,24.45,$1.49,16.38
2024-06-30,31.17,$1.83,17.02
2024-03-31,33.08,$1.70,19.41
2023-12-31,34.86,$2.03,17.17
2023-09-30,30.36,$2.00,15.17
2023-06-30,31.13,$1.69,18.43
2023-03-31,36.12,$2.06,17.53
2022-12-31,44.06,$2.25,19.58
2022-09-30,59.2,$3.39,17.49
2022-06-30,65.72,$2.69,24.45
2022-03-31,81.28,$2.61,31.13
2021-12-31,95.66,$2.34,40.82
2021-09-30,82.42,$1.50,54.82
2021-06-30,77.49,$1.80,43.04
2021-03-31,69.45,$1.74,39.84
2020-12-31,59.11,$1.60,37.01
2020-09-30,43.96,$1.10,39.89
2020-06-30,30.03,$1.28,23.47
2020-03-31,20.61,$1.17,17.61
2019-12-31,26.1,$1.17,22.32
2019-09-30,22.53,$1.10,20.52
2019-06-30,21.25,$0.95,22.29
2019-03-31,16.27,$0.88,18.48
2018-12-31,12.21,$0.64,19.08
2018-09-30,19.42,$0.72,26.84
2018-06-30,28.4,$0.58,48.61
2018-03-31,19.88,$0.62,32.22
2017-12-31,13.92,$0.51,27.12
2017-09-30,11.94,$0.31,38.05
2017-06-30,10.37,$0.44,23.55
2017-03-31,9.03,$0.35,25.54
2016-12-31,8.53,$0.45,18.84
2016-09-30,8.06,$0.68,11.86
2016-06-30,8.1,$0.51,15.73
2016-03-31,7.42,$0.42,17.67
2015-12-31,8.03,$0.31,25.68
2015-09-30,8.52,$0.12,69.38
2015-06-30,8.93,$0.21,43.2
2015-03-31,11.53,$0.41,27.86
2014-12-31,11.37,$0.41,27.41
2014-09-30,8.59,$0.31,28.13
2014-06-30,8.82,$0.36,24.28
2014-03-31,7.21,$0.17,42.16
2013-12-31,6.86,$0.10,68.46
2013-09-30,4.98,$0.21,23.69
2013-06-30,4.47,$0.20,22.26
2013-03-31,4.89,$0.29,17.03
2012-12-31,5.55,$0.35,15.67
2012-09-30,5.91,$0.33,17.91
2012-06-30,5.04,$0.23,22.04
2012-03-31,6.93,$0.22,31.44
2011-12-31,5.84,$0.28,20.83
2011-09-30,5.71,$0.26,22.15
2011-06-30,7.57,$0.37,20.69
2011-03-31,8.91,$0.18,50.0
2010-12-31,7.93,$0.19,42.0
2010-09-30,5.25,$0.23,22.78
2010-06-30,5.38,$0.17,32.29
2010-03-31,5.23,$0.37,14.25
2009-12-31,5.63,$0.42,13.35
