LINKBANCORP Price to Free Cash Flow Ratio Historical Data,LINKBANCORP Price to Free Cash Flow Ratio Historical Data,LINKBANCORP Price to Free Cash Flow Ratio Historical Data,LINKBANCORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.85,,21.23
2024-09-30,6.41,$0.32,19.86
2024-06-30,6.12,$0.09,70.92
2024-03-31,6.94,$-0.06,0.0
2023-12-31,7.97,$-0.07,0.0
2023-09-30,6.85,$0.14,50.59
2023-06-30,6.0,$0.02,294.12
