Perpetua Resources Price to Free Cash Flow Ratio Historical Data,Perpetua Resources Price to Free Cash Flow Ratio Historical Data,Perpetua Resources Price to Free Cash Flow Ratio Historical Data,Perpetua Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.46,,0.0
2024-12-31,10.67,$-0.22,0.0
2024-09-30,9.35,$-0.28,0.0
2024-06-30,5.2,$-0.37,0.0
2024-03-31,4.16,$-0.33,0.0
2023-12-31,3.17,$-0.34,0.0
2023-09-30,3.26,$-0.35,0.0
2023-06-30,3.67,$-0.35,0.0
2023-03-31,4.45,$-0.36,0.0
2022-12-31,2.92,$-0.40,0.0
2022-09-30,2.02,$-0.46,0.0
2022-06-30,3.31,$-0.44,0.0
2022-03-31,4.1,$-0.48,0.0
2021-12-31,4.75,$-0.53,0.0
