Ubiquiti Price to Free Cash Flow Ratio Historical Data,Ubiquiti Price to Free Cash Flow Ratio Historical Data,Ubiquiti Price to Free Cash Flow Ratio Historical Data,Ubiquiti Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,319.55,,25.05
2024-12-31,331.93,$12.76,26.02
2024-09-30,221.32,$11.51,19.23
2024-06-30,144.95,$8.76,16.55
2024-03-31,114.82,$5.11,22.46
2023-12-31,137.67,$-0.26,0.0
2023-09-30,142.53,$-2.23,0.0
2023-06-30,171.82,$-2.75,0.0
2023-03-31,264.71,$-1.83,0.0
2022-12-31,265.93,$2.56,104.07
2022-09-30,284.83,$4.77,59.76
2022-06-30,240.35,$5.78,41.58
2022-03-31,281.23,$7.26,38.76
2021-12-31,295.5,$7.73,38.21
2021-09-30,287.2,$9.19,31.25
2021-06-30,299.66,$9.42,31.82
2021-03-31,285.92,$8.69,32.91
2020-12-31,266.65,$7.85,33.96
2020-09-30,159.31,$6.87,23.19
2020-06-30,166.5,$6.56,25.39
2020-03-31,134.81,$5.51,24.48
2019-12-31,179.57,$4.38,40.98
2019-09-30,112.19,$3.16,35.47
2019-06-30,124.42,$2.90,42.92
2019-03-31,141.37,$2.69,52.58
2018-12-31,93.7,$4.02,23.34
2018-09-30,92.97,$4.19,22.2
2018-06-30,79.45,$4.12,19.27
2018-03-31,64.52,$4.10,15.74
2017-12-31,66.61,$2.44,27.25
2017-09-30,52.54,$2.03,25.87
2017-06-30,48.74,$1.26,38.72
2017-03-31,47.14,$1.21,38.8
2016-12-31,54.21,$1.68,32.26
2016-09-30,50.17,$2.09,24.02
2016-06-30,36.26,$2.23,16.26
2016-03-31,31.2,$1.92,16.28
2015-12-31,29.72,$1.98,14.98
2015-09-30,31.78,$1.40,22.78
2015-06-30,29.93,$1.36,22.01
2015-03-31,27.71,$1.79,15.45
2014-12-31,27.8,$1.24,22.49
2014-09-30,35.02,$1.22,28.79
2014-06-30,42.16,$1.31,32.25
2014-03-31,42.41,$1.18,35.88
2013-12-31,42.88,$1.74,24.59
2013-09-30,31.34,$1.75,17.94
2013-06-30,16.37,$1.40,11.67
2013-03-31,12.8,$1.32,9.68
2012-12-31,11.33,$1.25,9.04
2012-09-30,10.94,$1.17,9.35
