Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,181.3,,14.89
2024-12-31,187.6,$12.18,15.4
2024-09-30,191.26,$12.57,15.22
2024-06-30,179.5,$11.83,15.18
2024-03-31,176.26,$11.24,15.68
2023-12-31,152.53,$7.37,20.7
2023-09-30,137.85,$5.83,23.64
2023-06-30,145.39,$5.48,26.55
2023-03-31,149.07,$5.26,28.32
2022-12-31,132.4,$3.73,35.49
2022-09-30,113.58,$4.05,28.07
2022-06-30,117.73,$4.73,24.89
2022-03-31,151.69,$5.34,28.4
2021-12-31,175.02,$6.55,26.72
2021-09-30,149.43,$7.23,20.67
2021-06-30,144.31,$7.19,20.08
2021-03-31,130.97,$7.30,17.94
2020-12-31,120.1,$6.51,18.45
2020-09-30,102.65,$6.04,16.99
2020-06-30,91.09,$6.08,14.99
2020-03-31,78.78,$5.53,14.26
2019-12-31,107.68,$5.19,20.75
2019-09-30,92.61,$5.23,17.71
2019-06-30,92.71,$4.56,20.33
2019-03-31,86.33,$4.19,20.61
2018-12-31,64.96,$4.10,15.83
2018-09-30,81.05,$3.52,23.0
2018-06-30,66.64,$3.44,19.39
2018-03-31,71.47,$3.28,21.81
2017-12-31,73.14,$3.68,19.85
2017-09-30,65.87,$3.01,21.89
2017-06-30,57.49,$2.91,19.73
2017-03-31,57.28,$3.51,16.31
2016-12-31,53.13,$3.90,13.64
2016-09-30,51.89,$4.68,11.1
2016-06-30,48.56,$5.05,9.61
2016-03-31,44.78,$5.04,8.89
2015-12-31,42.38,$5.09,8.33
2015-09-30,39.27,$5.70,6.89
2015-06-30,47.87,$5.68,8.42
2015-03-31,46.9,$5.42,8.66
2014-12-31,48.4,$4.73,10.23
2014-09-30,53.95,$4.49,12.01
2014-06-30,60.81,$4.31,14.1
2014-03-31,54.42,$4.75,11.46
2013-12-31,53.29,$4.97,10.73
2013-09-30,49.38,$4.73,10.44
2013-06-30,42.51,$4.55,9.34
2013-03-31,39.71,$4.21,9.44
2012-12-31,35.63,$4.52,7.89
2012-09-30,32.08,$3.61,8.89
2012-06-30,28.74,$4.06,7.08
2012-03-31,33.56,$3.83,8.77
2011-12-31,30.8,$3.68,8.36
2011-09-30,24.58,$4.39,5.6
2011-06-30,35.56,$3.37,10.56
2011-03-31,34.33,$3.67,9.35
2010-12-31,30.39,$3.58,8.49
2010-09-30,27.01,$2.83,9.53
2010-06-30,21.49,$3.40,6.32
2010-03-31,23.9,$3.29,7.27
2009-12-31,21.15,$3.49,6.06
