Cresud S.A.C.I.F Y A Price to Free Cash Flow Ratio Historical Data,Cresud S.A.C.I.F Y A Price to Free Cash Flow Ratio Historical Data,Cresud S.A.C.I.F Y A Price to Free Cash Flow Ratio Historical Data,Cresud S.A.C.I.F Y A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.99,,13.96
2024-09-30,8.24,$0.79,10.47
2024-06-30,7.84,$1.95,4.03
2024-03-31,8.14,$3.59,2.27
2023-12-31,8.64,$6.00,1.44
2023-09-30,5.58,$3.92,1.42
2023-06-30,6.44,$2.91,2.21
2023-03-31,4.94,$-0.39,0.0
2022-12-31,5.18,$1.01,5.11
2022-09-30,4.13,$11.54,0.36
2021-12-31,3.57,$8.89,0.4
2021-09-30,3.67,$7.90,0.46
2021-06-30,4.52,$8.51,0.53
2021-03-31,3.94,$0.13,29.35
2020-12-31,3.62,$5.00,0.72
2020-09-30,2.12,$4.15,0.51
2020-06-30,2.24,$10.85,0.21
2020-03-31,2.63,$10.93,0.24
2019-12-31,5.32,$-1.80,0.0
2019-09-30,4.35,$15.49,0.28
2019-06-30,7.71,$3.64,2.12
2019-03-31,8.53,$29.58,0.29
2018-12-31,8.94,$41.26,0.22
2018-09-30,9.99,$29.49,0.34
2018-06-30,10.46,$33.48,0.31
2018-03-31,14.22,$9.04,1.57
2017-12-31,15.59,$6.81,2.29
2017-09-30,12.91,$6.01,2.15
2017-06-30,13.45,$6.97,1.93
2017-03-31,13.87,$39.31,0.35
2016-12-31,10.9,$47.84,0.23
2016-09-30,12.25,$51.37,0.24
2016-06-30,9.69,$49.65,0.2
2016-03-31,7.99,$23.74,0.34
2015-12-31,8.85,$15.65,0.57
2015-09-30,6.71,$10.24,0.66
2015-06-30,8.93,$10.17,0.88
2015-03-31,9.44,$3.56,2.65
2014-12-31,6.92,$2.51,2.75
2014-09-30,7.39,$2.31,3.2
2014-06-30,8.85,$2.86,3.09
2014-03-31,6.3,$0.52,12.06
2013-12-31,6.85,$1.57,4.37
2013-09-30,5.75,$1.85,3.11
2013-06-30,4.89,$1.64,2.98
2013-03-31,6.18,$3.08,2.01
2012-12-31,5.48,$4.66,1.18
2012-09-30,5.09,$3.80,1.34
2012-06-30,4.47,$3.45,1.3
2012-03-31,7.68,$3.07,2.5
2011-12-31,7.1,$1.58,4.49
2011-09-30,6.57,$2.16,3.05
2011-06-30,9.86,$1.58,6.23
2011-03-31,10.99,0,0.0
2010-12-31,11.31,0,0.0
2010-09-30,9.56,$-0.05,0.0
2010-06-30,7.23,0,0.0
2010-03-31,8.31,$0.94,8.87
2009-12-31,8.59,0,0.0
