LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data,LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data,LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data,LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,334.45,,0.0
2024-12-31,326.51,$-3.78,0.0
2024-09-30,232.41,$1.25,185.94
2024-06-30,278.61,$1.44,194.03
2024-03-31,263.25,$9.29,28.35
2023-12-31,226.55,$1.40,161.35
2023-09-30,236.21,$-2.16,0.0
2023-06-30,215.83,$21.96,9.83
2023-03-31,200.6,$18.15,11.06
2022-12-31,213.93,$20.16,10.61
2022-09-30,216.01,$25.43,8.49
2022-06-30,182.19,$2.79,65.31
2022-03-31,180.19,$0.84,213.96
2021-12-31,157.66,$2.90,54.34
2021-09-30,154.15,$4.22,36.49
2021-06-30,132.51,$2.78,47.67
2021-03-31,139.32,$3.82,36.47
2020-12-31,101.96,$7.86,12.97
2020-09-30,74.8,$5.05,14.8
2020-06-30,76.26,$10.23,7.46
2020-03-31,52.77,$9.75,5.41
2019-12-31,88.98,$5.52,16.11
2019-09-30,78.77,$8.56,9.21
2019-06-30,78.45,$3.45,22.75
2019-03-31,66.78,$5.50,12.15
2018-12-31,58.37,$4.95,11.78
2018-09-30,61.41,$4.53,13.57
2018-06-30,62.16,$3.33,18.66
2018-03-31,57.71,$3.47,16.61
2017-12-31,53.79,$3.71,14.51
2017-09-30,48.31,$1.49,32.52
2017-06-30,39.56,$2.31,17.14
2017-03-31,36.89,$1.54,23.88
2016-12-31,32.4,$2.90,11.16
2016-09-30,27.35,$2.34,11.68
2016-06-30,20.41,$0.98,20.88
2016-03-31,22.24,$2.06,10.79
2015-12-31,37.78,$2.14,17.67
2015-09-30,35.03,$1.51,23.15
2015-06-30,40.71,$3.02,13.46
2015-03-31,38.17,$2.03,18.76
2014-12-31,38.56,$1.47,26.18
2014-09-30,39.63,$1.40,28.27
2014-06-30,42.59,$1.81,23.49
2014-03-31,44.76,$1.45,30.87
2013-12-31,39.91,$0.77,51.66
2013-09-30,32.34,$2.14,15.13
2013-06-30,31.72,$1.13,28.16
2013-03-31,26.98,$2.02,13.33
2012-12-31,23.47,$1.80,13.06
2012-09-30,23.68,$1.18,19.99
2012-06-30,27.9,$0.97,28.71
2012-03-31,29.52,$1.69,17.47
2011-12-31,23.76,$3.62,6.56
2011-09-30,19.78,$2.54,7.79
