VistaGen Therapeutics Price to Free Cash Flow Ratio Historical Data,VistaGen Therapeutics Price to Free Cash Flow Ratio Historical Data,VistaGen Therapeutics Price to Free Cash Flow Ratio Historical Data,VistaGen Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.77,,0.0
2024-12-31,2.95,$-1.74,0.0
2024-09-30,3.01,$-0.65,0.0
2024-06-30,3.48,$-0.62,0.0
2024-03-31,5.28,$-1.34,0.0
2023-12-31,5.14,$-1.66,0.0
2023-09-30,5.24,$-3.86,0.0
2023-06-30,1.87,$-5.91,0.0
2023-03-31,3.74,$-7.17,0.0
2022-12-31,3.09,$-8.61,0.0
2022-09-30,4.56,$-8.83,0.0
2022-06-30,26.4,$-8.23,0.0
2022-03-31,37.2,$-6.89,0.0
2021-12-31,58.5,$-6.13,0.0
2021-09-30,82.2,$-6.22,0.0
2021-06-30,94.5,$-3.66,0.0
2021-03-31,63.9,$-4.31,0.0
2020-12-31,58.2,$-4.22,0.0
2020-09-30,20.91,$-5.37,0.0
2020-06-30,15.81,$-9.07,0.0
2020-03-31,13.2,$-10.79,0.0
2019-12-31,20.69,$-13.73,0.0
2019-09-30,32.1,$-13.31,0.0
2019-06-30,21.77,$-14.67,0.0
2019-03-31,38.4,$-15.46,0.0
2018-12-31,45.0,$-16.53,0.0
2018-09-30,43.5,$-15.82,0.0
2018-06-30,41.1,$-16.64,0.0
2018-03-31,27.84,$-19.59,0.0
2017-12-31,33.4,$-22.44,0.0
2017-09-30,48.0,$-27.60,0.0
2017-06-30,56.1,$-27.15,0.0
2017-03-31,58.8,$-29.91,0.0
