SiBone Price to Free Cash Flow Ratio Historical Data,SiBone Price to Free Cash Flow Ratio Historical Data,SiBone Price to Free Cash Flow Ratio Historical Data,SiBone Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.96,,0.0
2024-12-31,14.02,$-0.55,0.0
2024-09-30,13.98,$-0.64,0.0
2024-06-30,12.93,$-0.63,0.0
2024-03-31,16.37,$-0.54,0.0
2023-12-31,20.99,$-0.69,0.0
2023-09-30,21.24,$-0.83,0.0
2023-06-30,26.98,$-1.06,0.0
2023-03-31,19.67,$-1.41,0.0
2022-12-31,13.6,$-1.50,0.0
2022-09-30,17.46,$-1.69,0.0
2022-06-30,13.2,$-1.69,0.0
2022-03-31,22.6,$-1.51,0.0
2021-12-31,22.21,$-1.39,0.0
2021-09-30,21.42,$-1.23,0.0
2021-06-30,31.47,$-1.15,0.0
2021-03-31,31.81,$-1.11,0.0
2020-12-31,29.9,$-1.14,0.0
2020-09-30,23.72,$-1.26,0.0
2020-06-30,15.94,$-1.36,0.0
2020-03-31,11.95,$-1.45,0.0
2019-12-31,21.5,$-1.38,0.0
2019-09-30,17.67,$-2.92,0.0
