Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data,Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data,Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data,Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,466.05,,31.85
2024-12-31,419.76,$14.63,28.68
2024-09-30,428.71,$14.19,30.22
2024-06-30,512.69,$14.50,35.35
2024-03-31,491.95,$13.98,35.2
2023-12-31,406.76,$13.72,29.65
2023-09-30,372.64,$14.40,25.88
2023-06-30,330.52,$14.32,23.08
2023-03-31,322.26,$12.75,25.28
2022-12-31,337.08,$11.89,28.35
2022-09-30,300.95,$10.93,27.54
2022-06-30,376.87,$11.31,33.33
2022-03-31,392.46,$13.20,29.72
2021-12-31,542.61,$14.86,36.52
2021-09-30,457.78,$16.38,27.94
2021-06-30,446.9,$15.12,29.56
2021-03-31,351.61,$14.23,24.71
2020-12-31,365.64,$12.72,28.75
2020-09-30,404.69,$11.19,36.16
2020-06-30,350.85,$10.23,34.3
2020-03-31,307.13,$10.06,30.52
2019-12-31,277.74,$10.11,27.48
2019-09-30,230.73,$8.69,26.57
2019-06-30,261.82,$8.18,32.02
2019-03-31,242.27,$6.95,34.84
2018-12-31,232.17,$6.52,35.59
2018-09-30,275.39,$6.22,44.26
2018-06-30,263.09,$6.36,41.4
2018-03-31,217.33,$5.68,38.23
2017-12-31,175.4,$5.41,32.4
2017-09-30,183.84,$6.22,29.54
2017-06-30,195.39,$5.66,34.5
2017-03-31,169.86,$5.93,28.66
2016-12-31,146.4,$4.78,30.6
2016-09-30,139.28,$4.30,32.36
2016-06-30,120.2,$3.60,33.42
2016-03-31,120.27,$3.04,39.62
2015-12-31,101.18,$4.34,23.29
2015-09-30,97.87,$3.22,30.41
2015-06-30,102.56,$3.12,32.91
2015-03-31,90.68,$3.20,28.38
2014-12-31,84.66,$2.31,36.68
2014-09-30,69.01,$2.79,24.73
2014-06-30,65.32,$2.49,26.22
2014-03-31,68.56,$2.49,27.49
2013-12-31,61.84,$2.66,23.24
2013-09-30,60.16,$2.54,23.65
2013-06-30,51.32,$2.67,19.22
2013-03-31,45.25,$3.01,15.04
2012-12-31,38.16,$2.54,15.0
2012-09-30,33.03,$2.46,13.42
2012-06-30,27.08,$2.42,11.19
2012-03-31,31.8,$2.04,15.62
2011-12-31,27.5,$2.19,12.58
2011-09-30,22.07,$1.86,11.85
2011-06-30,20.44,$1.70,12.02
2011-03-31,14.93,$1.70,8.78
2010-12-31,12.92,$1.74,7.44
2010-09-30,10.71,$1.77,6.04
2010-06-30,9.15,$1.70,5.37
2010-03-31,11.05,$1.73,6.38
2009-12-31,6.79,$1.42,4.78
