"Gyrodyne , LLC Price to Free Cash Flow Ratio Historical Data","Gyrodyne , LLC Price to Free Cash Flow Ratio Historical Data","Gyrodyne , LLC Price to Free Cash Flow Ratio Historical Data","Gyrodyne , LLC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.35,,inf
2023-12-31,10.0,0,0.0
2023-09-30,10.07,0,0.0
2023-06-30,11.2,0,0.0
2023-03-31,8.55,0,0.0
2022-12-31,8.1,0,0.0
2022-09-30,9.6,0,0.0
2022-06-30,12.01,0,0.0
2022-03-31,14.01,0,0.0
2021-12-31,11.5,0,0.0
2021-09-30,13.49,0,0.0
2021-06-30,13.33,0,0.0
2021-03-31,15.36,0,0.0
2020-12-31,16.25,0,0.0
2020-09-30,17.2,0,0.0
2020-06-30,16.5,0,0.0
2020-03-31,14.6,0,0.0
2019-12-31,18.85,0,0.0
2019-09-30,19.55,0,0.0
2019-06-30,19.1,0,0.0
2019-03-31,18.0,0,0.0
2018-12-31,17.3,0,0.0
2018-09-30,20.5,0,0.0
2018-06-30,20.7,0,0.0
2018-03-31,20.5,0,0.0
2017-12-31,20.08,0,0.0
2017-09-30,21.76,0,0.0
2017-06-30,20.5,0,0.0
2017-03-31,19.74,0,0.0
2016-12-31,17.37,0,0.0
2016-09-30,17.67,0,0.0
2016-06-30,18.92,$1.88,10.05
2016-03-31,24.33,$14.65,1.66
2015-12-31,23.06,$6.45,3.57
2015-09-30,25.32,$0.00,0.0
2015-08-31,28.09,$-2.26,0.0
2015-06-30,29.99,$21.51,1.39
2015-03-31,40.42,$24.02,1.68
2014-12-31,41.12,$-4.41,0.0
2014-09-30,50.05,$-36.07,0.0
2014-06-30,51.45,$-99.01,0.0
2014-03-31,61.08,$-97.80,0.0
2013-12-31,127.48,$-67.90,0.0
2013-09-30,12.75,$-78.09,0.0
2013-06-30,12.17,"$1,196.96",0.01
2013-03-31,12.51,"$1,198.48",0.01
2012-12-31,12.27,"$1,202.00",0.01
2012-09-30,12.25,"$1,240.47",0.01
2012-06-30,12.89,$-8.06,0.0
2012-03-31,11.28,$-9.29,0.0
2011-12-31,11.51,$-11.41,0.0
2011-09-30,6.26,$-7.83,0.0
2011-06-30,7.67,$-9.16,0.0
2011-03-31,8.46,$-12.79,0.0
2010-12-31,9.06,$-10.22,0.0
2010-09-30,8.66,$-18.79,0.0
2010-06-30,5.3,$-16.61,0.0
2010-03-31,4.68,$-15.25,0.0
2009-12-31,4.72,$-127.62,0.0
