Donegal Price to Free Cash Flow Ratio Historical Data,Donegal Price to Free Cash Flow Ratio Historical Data,Donegal Price to Free Cash Flow Ratio Historical Data,Donegal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.5,,7.27
2024-12-31,14.11,$1.99,7.08
2024-09-30,12.74,$1.25,10.23
2024-06-30,11.52,$1.26,9.13
2024-03-31,13.01,$1.03,12.64
2023-12-31,13.89,$0.86,16.1
2023-09-30,12.94,$1.34,9.66
2023-06-30,12.63,$1.39,9.11
2023-03-31,13.9,$1.41,9.83
2022-12-31,14.9,$2.10,7.1
2022-09-30,12.79,$2.16,5.92
2022-06-30,14.35,$1.70,8.46
2022-03-31,12.24,$2.17,5.63
2021-12-31,11.84,$2.52,4.7
2021-09-30,11.96,$3.01,3.97
2021-06-30,12.38,$3.71,3.33
2021-03-31,11.61,$4.06,2.86
2020-12-31,9.98,$3.43,2.91
2020-09-30,10.11,$3.29,3.07
2020-06-30,9.34,$3.56,2.62
2020-03-31,10.97,$2.58,4.26
2019-12-31,10.33,$2.65,3.9
2019-09-30,10.04,$1.83,5.49
2019-06-30,11.53,$1.71,6.74
2019-03-31,9.34,$2.29,4.09
2018-12-31,9.19,$2.25,4.08
2018-09-30,10.6,$2.79,3.8
2018-06-30,10.08,$2.62,3.84
2018-03-31,10.63,$2.61,4.07
2017-12-31,11.42,$2.92,3.91
2017-09-30,11.16,$2.75,4.05
2017-06-30,10.7,$2.75,3.88
2017-03-31,11.71,$2.46,4.77
2016-12-31,11.55,$2.20,5.25
2016-09-30,13.42,$2.39,5.61
2016-06-30,11.28,$2.23,5.07
2016-03-31,9.6,$2.56,3.75
2015-12-31,11.64,$2.43,4.79
2015-09-30,12.98,$2.40,5.42
2015-06-30,14.02,$2.77,5.06
2015-03-31,13.15,$2.13,6.18
2014-12-31,14.8,$1.56,9.48
2014-09-30,16.44,$1.36,12.07
2014-06-30,14.33,$1.11,12.92
2014-03-31,16.84,$1.40,12.03
2013-12-31,15.97,$1.70,9.4
2013-09-30,13.09,$1.63,8.01
2013-06-30,14.1,$1.42,9.95
2013-03-31,15.3,$1.01,15.12
2012-12-31,11.9,$0.94,12.72
2012-09-30,11.82,$0.63,18.92
2012-06-30,11.76,$0.57,20.76
2012-03-31,11.61,$0.57,20.38
2011-12-31,10.6,$0.81,13.02
2011-09-30,9.61,$1.10,8.72
2011-06-30,11.15,$1.05,10.6
2011-03-31,10.61,$1.21,8.8
2010-12-31,11.08,$0.84,13.26
2010-09-30,10.64,$1.03,10.3
2010-06-30,11.05,$1.18,9.34
2010-03-31,10.96,$1.10,9.93
2009-12-31,10.33,$1.30,7.94
