Pacira BioSciences Price to Free Cash Flow Ratio Historical Data,Pacira BioSciences Price to Free Cash Flow Ratio Historical Data,Pacira BioSciences Price to Free Cash Flow Ratio Historical Data,Pacira BioSciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.82,,6.16
2024-12-31,18.84,$3.87,4.87
2024-09-30,15.05,$4.09,3.68
2024-06-30,28.61,$3.61,7.93
2024-03-31,29.22,$3.30,8.86
2023-12-31,33.74,$2.68,12.57
2023-09-30,30.68,$2.56,11.99
2023-06-30,40.07,$2.70,14.83
2023-03-31,40.81,$2.25,18.13
2022-12-31,38.61,$2.48,15.6
2022-09-30,53.19,$2.02,26.35
2022-06-30,58.3,$2.13,27.41
2022-03-31,76.32,$2.27,33.63
2021-12-31,60.17,$1.75,34.38
2021-09-30,56.0,$2.19,25.59
2021-06-30,60.68,$1.90,31.95
2021-03-31,70.09,$0.89,78.88
2020-12-31,59.84,$0.90,66.63
2020-09-30,60.12,$0.68,88.92
2020-06-30,52.47,$0.34,155.84
2020-03-31,33.53,$1.41,23.85
2019-12-31,45.3,$1.45,31.16
2019-09-30,38.07,$1.40,27.19
2019-06-30,43.49,$1.29,33.79
2019-03-31,38.06,$1.07,35.6
2018-12-31,43.02,$0.84,51.23
2018-09-30,49.15,$0.67,73.63
2018-06-30,32.05,$0.17,192.15
2018-03-31,31.15,$-0.14,0.0
2017-12-31,45.65,$-0.04,0.0
2017-09-30,37.55,$0.01,0.0
2017-06-30,47.7,$0.42,114.42
2017-03-31,45.6,$0.41,109.99
2016-12-31,32.3,$0.23,137.56
2016-09-30,34.22,$0.09,360.97
2016-06-30,33.73,$-0.28,0.0
2016-03-31,52.98,$-0.36,0.0
2015-12-31,76.79,$-0.30,0.0
2015-09-30,41.1,$-0.33,0.0
2015-06-30,70.72,$-0.04,0.0
2015-03-31,88.85,$0.15,610.65
2014-12-31,88.66,$0.10,874.36
2014-09-30,96.92,$-0.36,0.0
2014-06-30,91.86,$-0.91,0.0
2014-03-31,69.99,$-1.43,0.0
2013-12-31,57.49,$-1.69,0.0
2013-09-30,48.08,$-2.38,0.0
2013-06-30,29.0,$-2.42,0.0
2013-03-31,28.86,$-2.62,0.0
2012-12-31,17.47,$-2.91,0.0
2012-09-30,17.4,$-2.61,0.0
2012-06-30,16.04,$-2.73,0.0
2012-03-31,11.54,$-2.59,0.0
2011-12-31,8.65,$-2.26,0.0
