Rocky Brands Price to Free Cash Flow Ratio Historical Data,Rocky Brands Price to Free Cash Flow Ratio Historical Data,Rocky Brands Price to Free Cash Flow Ratio Historical Data,Rocky Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.12,,2.82
2024-12-31,22.8,$6.43,3.55
2024-09-30,31.64,$8.97,3.53
2024-06-30,36.52,$9.93,3.68
2024-03-31,26.7,$8.96,2.98
2023-12-31,29.53,$9.44,3.13
2023-09-30,14.3,$6.81,2.1
2023-06-30,20.26,$5.76,3.51
2023-03-31,22.08,$2.77,7.98
2022-12-31,22.47,$1.69,13.33
2022-09-30,18.98,$-5.53,0.0
2022-06-30,32.15,$-12.06,0.0
2022-03-31,38.96,$-8.78,0.0
2021-12-31,37.13,$-10.25,0.0
2021-09-30,44.22,$-4.62,0.0
2021-06-30,51.48,$1.04,49.71
2021-03-31,49.93,$1.46,34.15
2020-12-31,25.85,$2.69,9.61
2020-09-30,22.76,$2.84,8.0
2020-06-30,18.74,$2.25,8.31
2020-03-31,17.52,$1.77,9.89
2019-12-31,26.49,$1.40,18.97
2019-09-30,29.76,$0.94,31.72
2019-06-30,24.31,$1.62,15.03
2019-03-31,21.23,$1.60,13.27
2018-12-31,22.95,$1.79,12.83
2018-09-30,24.98,$2.28,10.96
2018-06-30,26.37,$2.45,10.78
2018-03-31,18.77,$2.23,8.42
2017-12-31,16.44,$2.08,7.89
2017-09-30,11.59,$2.91,3.99
2017-06-30,11.54,$2.55,4.53
2017-03-31,9.84,$2.76,3.56
2016-12-31,9.74,$2.06,4.74
2016-09-30,8.83,$2.50,3.53
2016-06-30,9.44,$1.93,4.89
2016-03-31,10.42,$2.34,4.46
2015-12-31,9.37,$1.93,4.86
2015-09-30,11.39,$1.13,10.04
2015-06-30,14.92,$1.52,9.81
2015-03-31,17.13,$0.42,40.85
2014-12-31,10.59,$0.74,14.27
2014-09-30,11.04,$-0.43,0.0
2014-06-30,11.08,$-0.73,0.0
2014-03-31,11.13,$-1.15,0.0
2013-12-31,11.19,$-1.35,0.0
2013-09-30,13.28,$0.29,45.78
2013-06-30,11.47,$0.04,281.1
2013-03-31,10.26,$0.10,103.62
2012-12-31,9.83,$1.59,6.16
2012-09-30,8.71,$2.46,3.55
2012-06-30,9.94,$1.10,9.0
2012-03-31,10.28,$0.86,11.98
2011-12-31,6.8,$-0.13,0.0
2011-09-30,7.48,$-0.83,0.0
2011-06-30,9.3,$-0.33,0.0
2011-03-31,11.52,$0.15,74.35
2010-12-31,7.56,$1.38,5.47
2010-09-30,5.7,$3.29,1.73
2010-06-30,4.82,$6.45,0.75
2010-03-31,7.19,$7.09,1.01
2009-12-31,5.74,$5.59,1.03
