Bright Minds Biosciences Price to Free Cash Flow Ratio Historical Data,Bright Minds Biosciences Price to Free Cash Flow Ratio Historical Data,Bright Minds Biosciences Price to Free Cash Flow Ratio Historical Data,Bright Minds Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.88,,0.0
2024-12-31,36.02,$-0.32,0.0
2024-09-30,1.17,$-0.32,0.0
2024-06-30,1.08,$-0.47,0.0
2024-03-31,1.2,$-0.86,0.0
2023-12-31,1.43,$-1.01,0.0
2023-09-30,1.6,$-1.40,0.0
2023-06-30,0.57,$-1.67,0.0
2023-03-31,0.44,$-2.26,0.0
2022-12-31,0.74,$-3.19,0.0
2022-09-30,1.23,$-4.31,0.0
