Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,91.22,,21.76
2025-01-31,90.82,$4.19,21.66
2024-10-31,89.25,$4.16,21.45
2024-07-31,79.7,$3.88,20.55
2024-04-30,78.91,$3.91,20.19
2024-01-31,85.39,$3.70,23.08
2023-10-31,68.25,$3.03,22.49
2023-07-31,84.17,$3.33,25.24
2023-04-30,86.54,$3.44,25.18
2023-01-31,78.94,$3.11,25.41
2022-10-31,81.66,$3.59,22.77
2022-07-31,85.81,$4.24,20.23
2022-04-30,96.05,$4.42,21.71
2022-01-31,94.69,$4.21,22.51
2021-10-31,108.99,$4.26,25.58
2021-07-31,118.83,$4.32,27.49
2021-04-30,117.88,$3.61,32.67
2021-01-31,99.75,$3.42,29.17
2020-10-31,89.65,$3.52,25.49
2020-07-31,85.52,$3.52,24.29
2020-04-30,85.98,$4.46,19.29
2020-01-31,101.07,$4.91,20.58
2019-10-31,94.88,$4.65,20.39
2019-07-31,88.38,$4.19,21.11
2019-04-30,76.57,$4.33,17.7
2019-01-31,75.8,$3.57,21.23
2018-10-31,76.6,$3.56,21.5
2018-07-31,76.56,$3.34,22.9
2018-04-30,67.59,$2.64,25.58
2018-01-31,72.45,$3.14,23.08
2017-10-31,67.92,$3.12,21.75
2017-07-31,70.41,$3.51,20.06
2017-04-30,69.32,$4.04,17.14
2017-01-31,63.09,$3.70,17.05
2016-10-31,67.66,$3.51,19.26
2016-07-31,71.93,$3.38,21.28
2016-04-30,64.65,$2.93,22.1
2016-01-31,61.7,$3.47,17.78
2015-10-31,59.78,$4.04,14.8
2015-07-31,63.05,$4.12,15.31
2015-04-30,59.58,$3.91,15.26
2015-01-31,56.91,$3.88,14.67
2014-10-31,54.1,$3.72,14.56
2014-07-31,48.77,$3.82,12.78
2014-04-30,46.24,$4.50,10.27
2014-01-31,44.27,$4.40,10.05
2013-10-31,44.7,$4.21,10.62
2013-07-31,42.8,$4.07,10.53
2013-04-30,35.97,$4.37,8.24
2013-01-31,35.71,$4.15,8.61
2012-10-31,31.67,$3.82,8.28
2012-07-31,29.85,$4.02,7.42
2012-04-30,28.73,$3.76,7.64
2012-01-31,28.83,$3.50,8.25
2011-10-31,25.81,$3.56,7.25
2011-07-31,26.58,$3.28,8.11
2011-04-30,30.59,$3.00,10.21
2011-01-31,27.91,$3.34,8.36
2010-10-31,25.51,$3.52,7.24
2010-07-31,26.59,$3.42,7.76
2010-04-30,31.23,$3.21,9.74
2010-01-31,30.52,$3.13,9.75
2009-10-31,25.29,$4.02,6.3
