Fidelity National Financial Price to Free Cash Flow Ratio Historical Data,Fidelity National Financial Price to Free Cash Flow Ratio Historical Data,Fidelity National Financial Price to Free Cash Flow Ratio Historical Data,Fidelity National Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,64.12,,2.62
2024-12-31,56.14,$24.43,2.3
2024-09-30,62.06,$27.30,2.27
2024-06-30,49.03,$22.63,2.17
2024-03-31,52.16,$24.03,2.17
2023-12-31,49.64,$23.42,2.12
2023-09-30,39.79,$19.94,2.0
2023-06-30,34.32,$21.45,1.6
2023-03-31,32.87,$18.11,1.82
2022-12-31,34.93,$15.22,2.29
2022-09-30,33.2,$15.46,2.15
2022-06-30,33.53,$13.81,2.43
2022-03-31,43.78,$13.81,3.17
2021-12-31,46.37,$13.79,3.36
2021-09-30,39.94,$10.86,3.68
2021-06-30,37.96,$8.38,4.53
2021-03-31,35.24,$7.03,5.01
2020-12-31,33.59,$5.13,6.54
2020-09-30,26.66,$4.50,5.92
2020-06-30,25.85,$4.38,5.9
2020-03-31,20.76,$4.12,5.04
2019-12-31,37.4,$3.71,10.07
2019-09-30,36.37,$3.16,11.5
2019-06-30,32.77,$3.15,10.41
2019-03-31,29.49,$3.01,9.81
2018-12-31,25.14,$3.17,7.93
2018-09-30,31.18,$2.73,11.4
2018-06-30,29.59,$2.32,12.75
2018-03-31,31.23,$1.90,16.39
2017-12-31,30.38,$1.72,17.71
2017-09-30,26.7,$2.30,11.61
2017-06-30,25.08,$2.55,9.85
2017-03-31,21.66,$2.27,9.55
2016-12-31,18.77,$2.51,7.48
2016-09-30,20.25,$2.00,10.14
2016-06-30,20.45,$1.67,12.25
2016-03-31,18.38,$2.02,9.09
2015-12-31,18.67,$1.93,9.65
2015-09-30,18.98,$3.09,6.15
2015-06-30,19.68,$3.20,6.15
2015-03-31,19.46,$3.07,6.34
2014-12-31,18.14,$2.06,8.81
2014-09-30,14.52,$0.85,17.18
2014-06-30,17.04,$0.52,32.56
2014-03-31,16.35,$0.75,21.7
2013-12-31,16.88,$1.45,11.67
2013-09-30,13.75,$1.91,7.21
2013-06-30,12.23,$2.25,5.43
2013-03-31,12.87,$2.36,5.46
2012-12-31,11.94,$2.40,4.97
2012-09-30,10.77,$1.65,6.53
2012-06-30,9.63,$1.24,7.75
2012-03-31,8.95,$0.46,19.42
2011-12-31,7.84,$0.36,21.87
2011-09-30,7.42,$0.65,11.46
2011-06-30,7.63,$0.36,21.08
2011-03-31,6.8,$0.70,9.76
2010-12-31,6.53,$0.67,9.67
2010-09-30,7.4,$0.49,15.25
2010-06-30,6.04,$0.72,8.41
2010-03-31,6.81,$0.74,9.24
2009-12-31,6.12,$1.65,3.71
