Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data,Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data,Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data,Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.92,,0.0
2024-12-31,22.5,$-1.56,0.0
2024-09-30,25.54,$-1.70,0.0
2024-06-30,23.37,$-1.83,0.0
2024-03-31,17.59,$-1.16,0.0
2023-12-31,13.84,$-1.73,0.0
