WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data,WEC Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,107.81,,88.2
2024-12-31,94.04,$1.22,76.93
2024-09-30,95.35,$1.11,86.01
2024-06-30,77.07,$1.73,44.56
2024-03-31,79.88,$1.95,40.89
2023-12-31,80.99,$1.57,51.72
2023-09-30,76.75,$0.58,133.47
2023-06-30,83.33,$-1.01,0.0
2023-03-31,88.77,$-2.01,0.0
2022-12-31,87.08,$-0.73,0.0
2022-09-30,82.42,$-0.54,0.0
2022-06-30,92.11,$1.15,80.05
2022-03-31,90.7,$1.80,50.4
2021-12-31,87.51,$-0.63,0.0
2021-09-30,78.92,$0.12,668.83
2021-06-30,79.03,$-0.41,0.0
2021-03-31,82.57,$-0.89,0.0
2020-12-31,80.55,$-0.07,0.0
2020-09-30,84.29,$0.20,414.39
2020-06-30,75.72,$-0.02,0.0
2020-03-31,75.57,$-0.34,0.0
2019-12-31,78.59,$0.27,293.91
2019-09-30,80.5,$0.55,146.92
2019-06-30,70.11,$0.53,132.1
2019-03-31,66.01,$0.83,79.73
2018-12-31,57.36,$1.04,55.12
2018-09-30,54.86,$0.56,97.47
2018-06-30,52.69,$0.69,75.87
2018-03-31,50.65,$0.60,84.62
2017-12-31,53.18,$0.38,141.62
2017-09-30,49.88,$1.84,27.12
2017-06-30,48.38,$1.82,26.57
2017-03-31,47.38,$2.67,17.72
2016-12-31,45.42,$2.67,17.01
2016-09-30,45.97,$1.51,30.47
2016-06-30,49.73,$1.10,45.09
2016-03-31,45.38,$0.64,70.97
2015-12-31,38.42,$0.21,186.07
2015-09-30,38.75,$0.61,63.98
2015-06-30,33.21,$1.62,20.52
2015-03-31,36.07,$1.58,22.86
2014-12-31,38.12,$1.92,19.82
2014-09-30,30.83,$2.10,14.71
2014-06-30,33.34,$2.42,13.77
2014-03-31,32.8,$2.49,13.17
2013-12-31,28.86,$2.22,13.01
2013-09-30,27.93,$2.25,12.43
2013-06-30,28.1,$2.40,11.7
2013-03-31,29.18,$2.04,14.27
2012-12-31,24.85,$2.04,12.17
2012-09-30,25.2,$2.00,12.62
2012-06-30,26.27,$0.69,37.84
2012-03-31,23.17,$0.48,48.76
2011-12-31,22.82,$0.87,26.32
2011-09-30,20.26,$0.70,29.07
2011-06-30,20.12,$1.32,15.22
2011-03-31,19.41,$1.12,17.3
2010-12-31,18.57,$0.34,54.32
2010-09-30,18.11,$0.45,40.33
2010-06-30,15.78,$0.24,65.73
2010-03-31,15.25,$0.39,39.55
2009-12-31,15.25,$-0.72,0.0
