Rapid Micro Biosystems Price to Free Cash Flow Ratio Historical Data,Rapid Micro Biosystems Price to Free Cash Flow Ratio Historical Data,Rapid Micro Biosystems Price to Free Cash Flow Ratio Historical Data,Rapid Micro Biosystems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.45,,0.0
2024-12-31,0.9,$-1.04,0.0
2024-09-30,0.89,$-1.04,0.0
2024-06-30,0.66,$-1.08,0.0
2024-03-31,0.97,$-1.06,0.0
2023-12-31,0.74,$-1.09,0.0
2023-09-30,1.08,$-1.15,0.0
2023-06-30,1.0,$-1.31,0.0
2023-03-31,1.31,$-1.49,0.0
2022-12-31,1.13,$-1.54,0.0
2022-09-30,3.23,$-2.96,0.0
2022-06-30,4.3,$-3.79,0.0
