Oportun Financial Price to Free Cash Flow Ratio Historical Data,Oportun Financial Price to Free Cash Flow Ratio Historical Data,Oportun Financial Price to Free Cash Flow Ratio Historical Data,Oportun Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.2,,0.67
2024-12-31,3.88,$9.28,0.42
2024-09-30,2.81,$10.21,0.28
2024-06-30,2.9,$10.08,0.29
2024-03-31,2.43,$10.02,0.24
2023-12-31,3.91,$9.80,0.4
2023-09-30,7.22,$9.18,0.79
2023-06-30,5.97,$8.37,0.71
2023-03-31,3.86,$7.14,0.54
2022-12-31,5.51,$6.06,0.91
2022-09-30,4.37,$5.43,0.8
2022-06-30,8.27,$5.20,1.59
2022-03-31,14.36,$4.93,2.91
2021-12-31,20.25,$4.52,4.48
2021-09-30,25.03,$3.25,7.71
2021-06-30,20.03,$3.26,6.15
2021-03-31,20.71,$3.55,5.83
2020-12-31,19.37,$4.80,4.04
2020-09-30,11.79,$-12.67,0.0
2020-06-30,13.44,$20.78,0.65
