InfuSystems Holdings Price to Free Cash Flow Ratio Historical Data,InfuSystems Holdings Price to Free Cash Flow Ratio Historical Data,InfuSystems Holdings Price to Free Cash Flow Ratio Historical Data,InfuSystems Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.65,,16.99
2024-12-31,8.45,$0.33,25.41
2024-09-30,6.7,$0.29,23.49
2024-06-30,6.83,$0.15,46.65
2024-03-31,8.57,$0.36,23.87
2023-12-31,10.54,$0.21,50.82
2023-09-30,9.64,$0.11,87.88
2023-06-30,9.63,$-0.08,0.0
2023-03-31,7.75,$0.03,236.28
2022-12-31,8.68,$0.28,30.97
2022-09-30,6.99,$0.12,59.49
2022-06-30,9.63,$0.22,43.89
2022-03-31,9.8,$0.27,36.08
2021-12-31,17.03,$0.23,75.45
2021-09-30,13.03,$0.52,25.0
2021-06-30,20.79,$0.80,26.06
2021-03-31,20.36,$0.60,34.13
2020-12-31,18.78,$0.37,50.24
2020-09-30,12.82,$0.12,107.28
2020-06-30,11.54,$-0.36,0.0
2020-03-31,8.49,$-0.37,0.0
2019-12-31,8.53,$-0.28,0.0
2019-09-30,5.29,$-0.22,0.0
2019-06-30,4.3,$0.02,197.25
2019-03-31,5.01,$0.18,27.3
2018-12-31,3.44,$0.30,11.5
2018-09-30,3.25,$0.47,6.92
2018-06-30,3.55,$0.47,7.55
2018-03-31,2.9,$0.47,6.19
2017-12-31,2.3,$0.39,5.92
2017-09-30,2.05,$0.53,3.88
2017-06-30,1.75,$0.52,3.35
2017-03-31,2.3,$0.33,6.89
2016-12-31,2.55,$0.29,8.93
2016-09-30,2.78,$0.34,8.25
2016-06-30,2.6,$0.32,8.03
2016-03-31,3.52,$0.40,8.9
2015-12-31,3.02,$0.31,9.81
2015-09-30,2.76,$0.19,14.35
2015-06-30,3.19,$0.13,24.82
2015-03-31,2.71,$0.20,13.62
2014-12-31,3.15,$0.35,8.92
2014-09-30,3.14,$0.21,15.24
2014-06-30,2.65,$0.29,9.13
2014-03-31,2.78,$0.23,12.02
2013-12-31,2.14,$0.30,7.22
2013-09-30,1.28,$0.09,13.76
2013-06-30,1.49,$0.11,13.46
2013-03-31,1.74,$0.23,7.46
2012-12-31,1.5,$0.13,11.13
2012-09-30,1.76,$0.36,4.95
2012-06-30,1.89,$0.21,9.22
2012-03-31,1.94,$0.10,18.96
2011-12-31,1.61,$0.14,11.23
2011-09-30,0.95,$0.14,6.89
2011-06-30,2.16,$0.31,6.9
2011-03-31,2.7,$0.35,7.74
2010-12-31,2.33,$0.41,5.64
2010-09-30,2.5,$0.29,8.49
2010-06-30,2.55,$0.13,20.25
2010-03-31,2.45,$0.01,196.0
2009-12-31,2.2,0,0.0
