Bloom Energy Price to Free Cash Flow Ratio Historical Data,Bloom Energy Price to Free Cash Flow Ratio Historical Data,Bloom Energy Price to Free Cash Flow Ratio Historical Data,Bloom Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.41,,173.92
2024-12-31,22.21,$0.15,152.02
2024-09-30,10.56,$-1.41,0.0
2024-06-30,12.24,$-1.76,0.0
2024-03-31,11.24,$-1.24,0.0
2023-12-31,14.8,$-2.15,0.0
2023-09-30,13.26,$-2.99,0.0
2023-06-30,16.35,$-2.81,0.0
2023-03-31,19.93,$-2.68,0.0
2022-12-31,19.12,$-1.66,0.0
2022-09-30,19.99,$-1.10,0.0
2022-06-30,16.5,$-1.04,0.0
2022-03-31,24.15,$-0.67,0.0
2021-12-31,21.93,$-0.64,0.0
2021-09-30,18.72,$-1.05,0.0
2021-06-30,26.87,$-0.91,0.0
2021-03-31,27.05,$-1.26,0.0
2020-12-31,28.66,$-0.99,0.0
2020-09-30,17.97,$-0.71,0.0
2020-06-30,10.88,$-0.20,0.0
2020-03-31,5.23,$0.85,6.17
2019-12-31,7.47,$0.98,7.63
2019-09-30,3.25,$-1.48,0.0
2019-06-30,12.27,$-1.87,0.0
