CVRx Price to Free Cash Flow Ratio Historical Data,CVRx Price to Free Cash Flow Ratio Historical Data,CVRx Price to Free Cash Flow Ratio Historical Data,CVRx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.35,,0.0
2024-12-31,12.67,$-1.79,0.0
2024-09-30,8.81,$-1.81,0.0
2024-06-30,11.99,$-1.79,0.0
2024-03-31,18.21,$-1.96,0.0
2023-12-31,31.44,$-1.91,0.0
2023-09-30,15.17,$-2.05,0.0
2023-06-30,15.44,$-2.22,0.0
2023-03-31,9.32,$-2.08,0.0
2022-12-31,18.35,$-2.11,0.0
2022-09-30,9.33,$-3.31,0.0
2022-06-30,6.01,$28.91,0.21
2022-03-31,5.99,$-3.33,0.0
