Wrap Technologies Price to Free Cash Flow Ratio Historical Data,Wrap Technologies Price to Free Cash Flow Ratio Historical Data,Wrap Technologies Price to Free Cash Flow Ratio Historical Data,Wrap Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.01,,0.0
2024-09-30,1.5,$-0.25,0.0
2024-06-30,2.0,$-0.54,0.0
2024-03-31,2.26,$-0.41,0.0
2023-12-31,3.1,$-0.40,0.0
2023-09-30,1.5,$-0.39,0.0
2023-06-30,1.46,$-0.23,0.0
2023-03-31,1.72,$-0.31,0.0
2022-12-31,1.69,$-0.36,0.0
2022-09-30,1.71,$-0.40,0.0
2022-06-30,1.86,$-0.37,0.0
2022-03-31,2.7,$-0.49,0.0
2021-12-31,3.93,$-0.49,0.0
2021-09-30,5.99,$-0.51,0.0
2021-06-30,7.85,$-0.52,0.0
2021-03-31,5.56,$-0.41,0.0
2020-12-31,4.83,$-0.37,0.0
2020-09-30,6.77,$-0.32,0.0
2020-06-30,10.48,$-0.29,0.0
2020-03-31,4.26,$-0.32,0.0
2019-12-31,6.39,$-0.31,0.0
2019-09-30,4.08,$-0.32,0.0
