Workhorse Price to Free Cash Flow Ratio Historical Data,Workhorse Price to Free Cash Flow Ratio Historical Data,Workhorse Price to Free Cash Flow Ratio Historical Data,Workhorse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.2,,0.0
2024-09-30,0.87,$-5.01,0.0
2024-06-30,1.57,$-7.25,0.0
2024-03-31,4.69,$-10.49,0.0
2023-12-31,7.2,$-13.67,0.0
2023-09-30,8.29,$-14.66,0.0
2023-06-30,17.43,$-14.26,0.0
2023-03-31,26.6,$-13.77,0.0
2022-12-31,30.4,$-13.73,0.0
2022-09-30,57.4,$-13.26,0.0
2022-06-30,52.0,$-15.41,0.0
2022-03-31,100.0,$-20.31,0.0
2021-12-31,87.2,$-21.43,0.0
2021-09-30,153.0,$-25.51,0.0
2021-06-30,331.8,$-23.90,0.0
2021-03-31,275.4,$-18.87,0.0
2020-12-31,395.6,$-15.21,0.0
2020-09-30,505.6,$-10.90,0.0
2020-06-30,347.8,$-12.22,0.0
2020-03-31,36.2,$-11.98,0.0
2019-12-31,60.8,$-12.09,0.0
2019-09-30,70.0,$-9.59,0.0
2019-06-30,58.8,$-9.95,0.0
2019-03-31,12.3,$-8.46,0.0
2018-12-31,10.56,$-8.64,0.0
2018-09-30,21.4,$-11.79,0.0
2018-06-30,36.4,$-12.37,0.0
2018-03-31,52.8,$-14.37,0.0
2017-12-31,51.2,$-20.03,0.0
2017-09-30,55.2,$-18.26,0.0
2017-06-30,73.8,$-17.72,0.0
2017-03-31,52.6,$-20.28,0.0
2016-12-31,141.2,$-15.53,0.0
