Chord Energy Price to Free Cash Flow Ratio Historical Data,Chord Energy Price to Free Cash Flow Ratio Historical Data,Chord Energy Price to Free Cash Flow Ratio Historical Data,Chord Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,110.79,,6.36
2024-12-31,116.92,$17.41,6.72
2024-09-30,130.23,$14.84,8.78
2024-06-30,167.68,$12.23,13.71
2024-03-31,178.24,$18.50,9.63
2023-12-31,166.23,$21.07,7.89
2023-09-30,162.07,$26.36,6.15
2023-06-30,153.8,$19.57,7.86
2023-03-31,134.6,$38.83,3.47
2022-12-31,136.81,$43.18,3.17
2022-09-30,136.77,$4.32,31.66
2022-06-30,105.97,$18.74,5.65
2022-03-31,124.6,$8.19,15.21
2021-12-31,104.71,$5.39,19.44
2021-09-30,82.31,$21.95,3.75
