Interparfums Price to Free Cash Flow Ratio Historical Data,Interparfums Price to Free Cash Flow Ratio Historical Data,Interparfums Price to Free Cash Flow Ratio Historical Data,Interparfums Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.23,,21.12
2024-12-31,131.51,$5.69,23.1
2024-09-30,128.77,$3.93,32.79
2024-06-30,114.66,$2.09,54.78
2024-03-31,137.91,$1.75,78.78
2023-12-31,140.56,$3.09,45.49
2023-09-30,130.55,$3.12,41.88
2023-06-30,130.8,$3.18,41.14
2023-03-31,136.95,$2.07,66.01
2022-12-31,92.51,$1.23,75.35
2022-09-30,71.95,$-1.01,0.0
2022-06-30,69.21,$0.06,1132.81
2022-03-31,82.8,$-2.82,0.0
2021-12-31,99.9,$-0.68,0.0
2021-09-30,69.69,$1.49,46.68
2021-06-30,66.87,$-0.15,0.0
2021-03-31,65.66,$3.52,18.64
2020-12-31,55.81,$1.71,32.73
2020-09-30,34.46,$1.45,23.83
2020-06-30,44.42,$1.59,27.94
2020-03-31,42.76,$1.90,22.49
2019-12-31,66.64,$2.24,29.73
2019-09-30,63.84,$2.15,29.74
2019-06-30,60.42,$2.06,29.34
2019-03-31,68.65,$2.06,33.35
2018-12-31,59.12,$1.87,31.54
2018-09-30,57.86,$1.43,40.54
2018-06-30,47.88,$1.18,40.61
2018-03-31,42.03,$1.32,31.8
2017-12-31,38.56,$1.24,31.15
2017-09-30,36.43,$1.74,20.96
2017-06-30,32.24,$1.68,19.16
2017-03-31,32.0,$1.28,24.97
2016-12-31,28.54,$1.60,17.87
2016-09-30,27.98,$1.42,19.72
2016-06-30,24.66,$1.53,16.08
2016-03-31,26.53,$1.10,24.18
2015-12-31,20.35,$1.48,13.78
2015-09-30,21.08,$1.10,19.19
2015-06-30,28.68,$1.14,25.24
2015-03-31,27.47,$1.91,14.39
2014-12-31,23.02,$1.07,21.46
2014-09-30,22.96,$0.46,50.25
2014-06-30,24.57,$1.24,19.74
2014-03-31,29.98,$0.14,209.65
2013-12-31,29.55,$1.63,18.13
2013-09-30,24.35,$1.85,13.17
2013-06-30,23.06,$1.47,15.65
2013-03-31,19.67,$2.42,8.14
2012-12-31,15.59,$1.67,9.36
2012-09-30,14.6,$1.23,11.87
2012-06-30,13.72,$-0.02,0.0
2012-03-31,12.41,$-1.09,0.0
2011-12-31,12.24,$-1.10,0.0
2011-09-30,12.09,$-1.72,0.0
2011-06-30,17.93,$-0.43,0.0
2011-03-31,14.36,$0.64,22.57
2010-12-31,14.56,$1.04,13.97
2010-09-30,13.54,$2.55,5.3
2010-06-30,10.91,$2.97,3.68
2010-03-31,11.31,$2.85,3.97
2009-12-31,9.25,$2.63,3.52
