Cosmos Health Price to Free Cash Flow Ratio Historical Data,Cosmos Health Price to Free Cash Flow Ratio Historical Data,Cosmos Health Price to Free Cash Flow Ratio Historical Data,Cosmos Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.51,,0.0
2024-09-30,0.88,$-0.23,0.0
2024-06-30,1.04,$-0.59,0.0
2024-03-31,0.71,$-1.16,0.0
2023-12-31,1.41,$-1.56,0.0
2023-09-30,1.57,$-4.86,0.0
2023-06-30,2.99,$-5.08,0.0
2023-03-31,3.54,$-5.05,0.0
2022-12-31,4.56,$-7.74,0.0
