CPI Aerostructures Price to Free Cash Flow Ratio Historical Data,CPI Aerostructures Price to Free Cash Flow Ratio Historical Data,CPI Aerostructures Price to Free Cash Flow Ratio Historical Data,CPI Aerostructures Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.62,,23.58
2024-09-30,3.44,$0.15,22.41
2024-06-30,2.47,$0.10,24.85
2024-03-31,2.34,$0.16,14.91
2023-12-31,2.73,$0.30,8.99
2023-09-30,3.34,$0.07,49.12
2023-06-30,3.89,$0.31,12.68
2023-03-31,3.8,$0.34,11.17
2022-12-31,3.2,$0.07,43.9
2022-09-30,2.33,$0.40,5.85
2022-06-30,2.33,$0.26,8.9
2022-03-31,2.95,$0.43,6.85
2021-12-31,2.73,$0.23,12.02
2021-09-30,2.75,$0.02,130.33
2021-06-30,3.55,$-0.28,0.0
2021-03-31,4.54,$-0.43,0.0
2020-12-31,3.83,$-0.15,0.0
2020-09-30,2.68,$0.02,111.2
2020-06-30,3.29,$0.17,19.09
2020-03-31,2.25,$0.03,83.64
2019-12-31,6.73,$-0.07,0.0
2019-09-30,8.22,$-0.31,0.0
2019-06-30,8.41,$-0.21,0.0
2019-03-31,6.5,$-0.25,0.0
2018-12-31,6.37,$-0.34,0.0
2018-09-30,8.35,$-0.20,0.0
2018-06-30,10.5,$-0.15,0.0
2018-03-31,9.75,$0.18,55.24
2017-12-31,8.95,$0.15,59.35
2017-09-30,9.35,$-0.03,0.0
2017-06-30,9.4,$-0.06,0.0
2017-03-31,6.75,$-0.43,0.0
2016-12-31,9.25,$-0.78,0.0
2016-09-30,6.86,$-0.75,0.0
2016-06-30,6.15,$-0.91,0.0
2016-03-31,7.33,$0.07,112.6
2015-12-31,9.73,$0.22,45.17
2015-09-30,8.81,$0.66,13.42
2015-06-30,10.01,$0.95,10.5
2015-03-31,12.2,$0.03,419.24
2014-12-31,10.21,$-0.47,0.0
2014-09-30,9.85,$0.42,23.55
2014-06-30,12.67,$0.13,101.28
2014-03-31,13.0,$0.19,68.49
2013-12-31,15.04,$0.31,48.44
2013-09-30,11.59,$-1.80,0.0
2013-06-30,10.85,$-2.26,0.0
2013-03-31,8.57,$-2.94,0.0
2012-12-31,10.01,$-2.91,0.0
2012-09-30,10.84,$-2.59,0.0
2012-06-30,11.0,$-2.72,0.0
2012-03-31,14.87,$-2.55,0.0
2011-12-31,11.87,$-2.14,0.0
2011-09-30,9.5,$-2.03,0.0
2011-06-30,13.63,$-1.30,0.0
2011-03-31,15.2,$-0.92,0.0
2010-12-31,14.08,$-0.63,0.0
2010-09-30,10.0,$0.06,158.73
2010-06-30,9.85,$-0.01,0.0
2010-03-31,7.96,$0.02,373.81
2009-12-31,6.01,$0.09,69.56
